price,yr_built
436000,1939
210000,1967
236000,1961
331000,1954
365000,2006
450000,1960
770000,2014
455000,1997
405000,1908
304900,1969
170000,1931
2.05E+06,1905
780000,2005
330000,1988
370000,1992
467000,1979
405000,1980
675000,1985
500000,1954
389999,1968
630000,1975
360000,1992
580000,1986
550000,1929
879000,1994
265000,1993
446500,1990
404000,1963
267500,1957
3.08E+06,2002
335000,1998
576000,1948
208633,2006
315000,1964
725000,1913
550000,1965
610750,1984
550700,1908
665000,1960
834000,1928
201000,1915
2.38E+06,1921
1.38E+06,1997
1.40E+06,1997
305000,1979
487000,1948
390000,1988
548000,1916
268750,1943
819900,2013
520000,1984
230000,2003
240000,1969
232000,1922
240500,1922
274975,1987
740000,1922
186375,1952
790000,1977
880000,1951
279000,1955
295000,1991
640000,1924
940000,1968
260000,2003
559900,2004
791500,1911
265000,1954
245000,1954
485000,1962
684000,2010
425000,1957
309600,1991
552250,2002
165000,1943
239900,1943
320000,1930
206600,1987
387000,1973
299000,1967
855000,1965
315000,1954
437500,1907
252000,1969
375000,1955
300000,2005
420000,1954
900000,1928
679900,2000
463000,1992
380000,1978
329500,1994
604950,2013
795000,1966
465000,1994
673000,2002
810000,1991
785000,1989
338000,1986
280000,1993
315000,1954
530000,1954
380000,2004
297000,1994
730000,2004
450000,1940
275000,1997
595000,1960
435000,1904
270000,1954
950000,1986
389000,2001
560000,1968
1.35E+06,1998
799000,1969
365500,1983
252350,1979
403950,1993
385000,1954
345000,1957
490000,1979
330000,2005
927000,1953
1.12E+06,1983
330000,1950
530000,1958
365000,1962
378750,1909
269900,1968
557000,2008
360000,1974
352000,1937
437000,1994
322500,1994
650000,2001
450000,2001
278500,1998
364950,1995
840000,1986
268000,1991
517534,2006
632925,1978
577500,1995
339000,1920
570000,1967
563500,1964
423000,1962
355000,2012
1.55E+06,1999
482000,1941
625000,1955
538000,1988
380000,1985
375000,1909
245000,1996
310000,1947
1.30E+06,1976
397000,1971
365000,2005
328500,1990
988000,1987
1.00E+06,1922
237000,2005
525000,2003
749000,1976
722500,1983
843000,1991
438000,2000
578000,1977
227950,1954
196000,1974
641000,1953
350000,1980
205000,1960
400000,1968
1.03E+06,2005
505000,1972
475000,1975
520000,1977
1.45E+06,1977
333500,1965
232000,1976
691100,1983
811000,1960
551000,2001
496500,1994
705000,1980
578000,1966
255000,1986
1.05E+06,2007
348000,1989
230000,1985
359500,1988
330000,1953
80000,1912
465000,1954
325000,1997
340500,1947
342500,1993
290900,1930
868700,2000
1.20E+06,1928
1.15E+06,2000
859900,2011
520000,2003
460000,2005
438924,1949
315000,1918
590000,1975
378500,1955
328500,1990
849950,1973
525000,1950
1.39E+06,1993
295000,1978
1.07E+06,1998
207950,1917
699900,2002
1.28E+06,1977
452000,1963
370000,1987
232000,1968
669950,1960
397500,1972
490000,2004
725000,1925
299000,1958
625000,1900
437500,2000
650000,2003
475000,1929
342000,1966
1.20E+06,1999
280000,1963
240000,1993
529000,1924
442000,1941
615000,1946
1.49E+06,2006
585000,1981
480000,2005
1.10E+06,1990
290000,1949
615000,1951
300000,1950
308000,1932
750000,2001
2.25E+06,1916
890000,2005
288000,1958
190000,1943
515000,2005
235000,1930
275000,1951
727500,1952
650000,2003
1.60E+06,2001
365000,1944
662000,1984
270500,1978
200000,1978
970000,1987
160000,1962
204000,1971
358000,1985
452000,1979
595000,1900
249000,1994
346900,1999
2.13E+06,1976
280000,2003
318888,1973
530000,1967
375000,1983
910000,1988
782000,1991
259950,2008
315000,1979
215000,1943
705000,1946
1.45E+06,1952
451000,1949
261000,1943
396000,1956
725000,1999
1.95E+06,1965
238000,1959
750000,1973
331500,1998
460000,1978
404950,1982
880000,2014
863000,1997
638700,1960
435000,2008
260000,1959
671500,1927
610000,1907
405000,1937
338900,2003
720000,2004
442000,1927
650000,1902
263500,1981
300000,1963
266000,2009
930000,2009
530000,2004
180000,1965
619000,2005
264000,1962
730000,1941
439000,1975
268500,1981
330000,1985
640000,1903
900000,1978
370000,1985
685000,1931
505000,1981
265000,1966
290000,2006
296000,2006
360000,1996
240500,1997
372500,2007
595000,2004
515000,1997
1.22E+06,1962
507000,2004
399950,1984
185000,1994
460000,1980
435500,1985
469000,1966
531000,2000
443500,1949
223000,1990
590000,1996
340000,1997
650000,1925
533600,1990
695000,2005
242000,1988
425000,1967
525000,1981
485000,1988
175000,1971
210000,1983
260000,1989
577000,1976
200000,1958
605000,1927
325000,1947
289500,1944
559950,2014
1.04E+06,1941
543500,1970
480000,1983
218000,1982
565000,1914
426700,1968
650000,1957
542000,1910
415000,1977
214000,1953
245000,1949
314500,1993
1.12E+06,1924
378000,1963
305000,1982
595000,1978
729500,2015
430000,2003
240000,1987
545000,1916
530000,1918
157000,1939
425000,1925
220000,1944
521000,1976
325000,1952
597500,1911
337000,1999
1.00E+06,1991
3.07E+06,1957
495000,1943
748000,2001
888000,1953
269900,1986
496500,1967
475000,1969
312000,2004
323000,1976
331000,1986
306000,2007
655000,2002
290000,1959
1.25E+06,1965
460000,1949
435000,1940
664000,1978
865000,1921
385000,1968
497000,1975
280000,1925
188000,1924
478500,1969
1.15E+06,2001
222000,1981
799000,1984
609900,2006
413000,1995
400000,1930
802541,2014
320000,1990
507000,2006
387500,1946
396000,1967
373000,1958
1.48E+06,1965
359900,1983
410000,1927
690000,1992
245000,1985
700000,1979
268000,1977
225000,1979
980000,1976
795000,1905
195000,1953
480000,1950
485000,1900
130000,1928
325000,1946
440000,1984
550000,1958
310000,1967
530000,1989
390000,1993
243000,1981
639000,1990
215000,1969
405000,1961
250000,1968
405500,1954
452000,1937
730000,1937
267000,1994
289950,2002
565000,1911
1.58E+06,1988
636000,2007
350000,2004
320000,1978
210000,1978
245000,1950
328000,1983
985000,1989
501000,1976
315000,1992
403000,2012
550000,1934
347500,2012
365000,1986
588000,1951
605000,1977
1.30E+06,1937
233000,1974
360000,1997
459000,1929
740000,1995
305000,1967
395000,1925
560000,2000
650000,1963
449950,2003
517500,1940
435000,1970
329999,1952
950000,1960
447000,1944
699800,2010
850000,1911
316500,1979
942500,1981
1.31E+06,1991
856600,1964
405600,1918
565000,1996
400000,2008
330000,1997
374950,2005
405300,1983
560000,1984
824000,1961
260000,1984
760000,1965
405000,1995
429900,1987
341500,1961
465250,1957
450000,1912
390000,1955
420000,1963
269950,2002
493000,1910
370000,1998
2.25E+06,1905
305000,1967
400000,1938
320000,2009
715000,1911
650000,1966
218000,1966
500000,1964
460000,1984
232500,1969
408200,1990
522000,1980
675000,1982
1.36E+06,1999
249950,1952
210000,1950
429950,1947
737500,1993
710000,1958
470000,1999
1.10E+06,1993
650000,1913
1.22E+06,1967
422120,1987
625000,2007
385200,1954
500000,1989
308000,1989
565000,1977
581000,2004
361000,1999
345000,1964
419000,2008
347000,2004
625000,1989
2.40E+06,1999
379000,2014
310000,1988
250000,1941
682000,2005
246500,1992
325000,1932
310950,2004
1.10E+06,1931
287500,1954
431000,1954
226000,1968
825000,1926
175000,1947
465750,1959
659000,1983
595000,1941
350000,1987
270000,1975
662500,1957
249900,1939
324500,1977
430000,2004
419950,2004
285000,1962
332000,2002
282000,1956
320000,1987
428750,1911
330000,1977
456500,2008
352000,1972
664000,1912
628000,1987
512000,1977
254000,1969
535800,1994
287653,1960
438000,2006
450000,1949
327000,1998
370500,2005
265000,1993
450000,1979
425000,1988
166600,1977
245000,1963
565000,1951
539900,1976
910000,2010
280000,1990
275000,1989
467000,2001
457500,1996
381156,1908
289999,1977
642450,1919
469950,1962
795000,1975
785000,1984
860000,1983
1.10E+06,1990
147500,1959
390000,1978
229000,1954
185000,1932
414900,1941
200000,1914
225000,1969
720000,1924
930000,1908
1.27E+06,1952
700000,1928
466000,2005
374000,1976
480000,1994
740000,1995
1.01E+06,1923
395000,2002
340000,1954
209000,2003
431650,1962
980000,1971
660000,1993
730000,1977
291500,1988
905000,1997
800000,1993
839900,2013
200000,2007
300000,1979
530000,1942
314950,1995
255000,1960
550000,1950
435000,1917
234000,1966
615000,1975
205000,1985
384000,1955
324000,1994
645000,1946
570000,2007
324000,1999
270000,1943
290000,1962
250000,1965
342000,1990
255000,1958
800000,1972
451000,1926
990000,1967
288400,1983
420000,1920
359000,2009
390000,1988
300000,2005
545000,1981
288349,1972
299900,1985
891000,1925
1.20E+06,1947
378000,2004
299995,1951
253000,1994
350000,1979
565000,1900
315000,1908
570000,1915
971000,2005
915000,1910
419000,1950
260000,1977
1.32E+06,1990
369950,1977
1.03E+06,1994
435000,1929
601000,1958
460500,1963
720000,2000
851000,1996
550000,1916
700000,1920
323000,1963
345500,1944
378000,1959
650000,1917
385000,1982
425000,1910
210000,1920
630000,1993
335000,1953
196500,1966
582800,1986
440000,1983
752500,1974
532500,1909
265000,1950
397500,1961
524250,1999
765000,1996
648000,2001
469500,1969
237500,1975
216000,1956
427200,1963
280000,1977
718000,1968
420000,2010
379000,1952
326100,1942
535000,2003
283000,1992
260000,1940
399000,1951
484950,1987
640000,1960
585000,1952
645000,1955
253000,1988
178500,1953
291000,1991
199950,1920
553500,1922
189950,1981
289000,1988
700000,1908
270000,1967
258000,1977
530000,2005
245000,2012
563000,1917
515000,2001
325000,1987
540000,1996
280300,1949
460000,1926
475000,1981
900000,1957
538200,1964
429000,1922
164808,1980
520000,1977
475000,1977
283000,1942
321500,2000
840000,1993
287000,1992
375000,1962
349500,1969
446450,1960
315000,1992
271310,1906
315000,1953
245000,1990
543115,1947
900000,1945
2.45E+06,2008
554000,2003
249900,1950
768000,1981
980000,1967
395000,1962
415000,1995
380000,2003
566000,1999
218500,1949
550000,1976
512031,1920
197500,1950
470000,1977
590000,1981
465000,1977
499000,1968
515000,1972
716500,1936
410000,1944
850000,1994
1.05E+06,1983
648000,1992
620000,1929
935000,2008
379000,1963
699000,1952
528000,1960
425000,1974
249500,1963
1.04E+06,2014
790000,1961
399950,1969
275000,1953
550000,1912
140000,1926
250000,1954
318000,1988
505000,1962
470500,1966
360000,1954
1.24E+06,1962
986000,1964
515000,1906
320000,1939
310000,1951
356700,1942
775000,1956
325000,1951
208000,1962
825000,1908
515000,1990
490000,1929
675000,1954
360000,1962
550000,1962
225000,1962
500000,1967
385000,1969
837700,1994
448000,2003
730000,1952
575000,1954
430000,1976
435000,2002
241000,1973
453500,1924
285000,2001
151000,1942
1.57E+06,2004
631000,1905
285000,2011
195000,1959
817500,1987
550000,1960
1.13E+06,1995
609850,2002
200000,1947
367000,2006
285167,1988
275000,1947
350900,1992
660000,1988
525000,1957
262000,1997
690000,1907
624000,2005
353000,1947
552500,2002
224500,1983
239000,1950
975000,2004
1.20E+06,2006
505000,1910
302000,1963
170000,1944
195000,1910
272000,1959
369000,1959
332500,1953
515000,1963
269000,1967
1.28E+06,1994
303000,1985
420000,1977
400000,1941
225000,1987
219000,2004
605000,1989
625000,1942
380000,1906
620000,1962
687500,1994
225500,1962
252500,1956
510000,1994
510000,2003
725000,1906
75000,1966
492000,1927
425000,1977
1.96E+06,1963
298900,1994
699000,1987
310000,1918
350000,1961
790000,1961
305000,2003
315000,2003
267500,1977
1.75E+06,1950
435000,1987
482500,1966
5.11E+06,1999
439995,1959
460000,1967
194000,1971
290000,1943
274700,1963
900000,1910
1.15E+06,2001
605000,2008
359000,2004
850000,1951
505000,2002
565000,1990
585000,1955
328000,1990
749950,1957
826000,2006
535000,1977
925000,1991
875000,2001
902000,1976
423000,1951
235000,1968
545000,1980
343000,1961
334950,2002
405000,1956
220000,1959
173000,1947
655000,1906
406000,1924
632000,1961
357000,1990
361000,1964
277000,1948
630000,1980
254000,2003
472800,1961
263000,1913
510000,1913
179950,1952
525000,1973
479000,2008
651000,1940
949000,1958
392400,1942
585000,1950
460000,2004
470000,1951
245000,2003
500000,1978
455000,1989
485500,1999
1.88E+06,1921
100000,1978
307000,1982
475000,1994
330000,1972
130000,1960
320000,1998
735000,2013
365000,1972
234000,1968
211000,1970
680000,1969
457000,2002
349000,1989
360000,1979
350000,1998
208000,1960
250275,1942
435000,1942
270000,1984
438000,1961
659000,1938
645000,1974
685100,1999
350000,1963
375000,1955
170000,1966
880000,2005
410500,2008
780000,1996
1.23E+06,2001
449000,2005
546000,1921
317000,1977
276900,1958
399000,1965
495000,1976
258000,1978
600000,1912
265000,1999
321000,1978
682000,1910
295700,2000
609000,1985
995000,1968
530000,1986
614000,1907
390000,1986
467000,2004
484000,1980
340000,2003
302495,1994
532500,1927
441500,1993
470000,1967
2.30E+06,2004
590000,1996
320000,1942
363000,2009
747500,1977
750000,2003
831000,1982
403000,2004
445000,2005
345000,1970
2.26E+06,2003
371025,1977
355000,1916
270000,1972
425000,1957
364808,1967
320000,1981
325000,2006
350000,1984
170000,1947
255000,1984
550000,1947
835000,2005
420000,1946
925000,1958
389250,1956
748000,2004
284000,1988
588000,1950
372500,1963
285000,1988
360000,1954
275000,1930
428000,2003
847000,1969
316000,1977
375000,2000
533000,1967
556000,1991
225000,1966
537250,1978
255000,1967
530000,2006
5.30E+06,1991
595000,1996
548000,1958
234975,1980
600000,2005
432000,1967
455000,1986
279950,1965
267500,1963
620000,2000
110000,1943
625000,2009
389000,1952
1.20E+06,1905
788500,1977
567000,1974
515000,1987
605000,1968
430000,1936
805000,1920
567500,1999
647500,1916
495000,1903
825000,2006
435000,1987
445950,1968
960000,1993
780000,1929
274500,1969
729953,1909
464950,2008
620000,1959
735000,2005
450000,1959
450000,1916
842500,1902
360000,1979
585000,1998
461000,1977
345000,1949
1.08E+06,1970
643000,1988
690000,1990
282000,1949
549000,1951
815000,1926
2.20E+06,1952
700000,1984
933399,1992
290000,1967
372000,1979
450000,1920
303700,2010
672000,1989
334000,1970
260000,1944
749950,1941
330000,1984
830000,1960
1.13E+06,2006
320000,1948
260000,1920
225000,1945
279200,1939
520000,1942
505000,1987
234000,1975
503000,2005
606000,1979
433500,1937
250000,1951
719000,1984
381000,1959
267000,2007
275000,1962
651000,1993
439000,1949
325000,1955
490000,1938
519900,1999
545000,1984
1.06E+06,2003
542000,1955
465000,1961
408000,2006
292000,2000
253000,1994
280000,1942
658588,1986
635000,1969
439000,1978
300000,1999
345000,1960
283500,1978
425000,1911
685000,1974
750000,1983
245000,1960
585444,1962
706000,2009
445000,1944
241000,1990
1.18E+06,1957
530000,1927
350000,1948
1.70E+06,1999
389000,1968
799000,1945
1.40E+06,1951
340895,1947
780000,1996
350000,1993
470000,1999
914600,1985
354000,2005
470000,1920
715000,1927
265000,1950
2.54E+06,1936
640000,1950
290000,1929
480000,1976
535000,1954
907000,1965
459000,1974
1.36E+06,1950
264950,1967
352950,1900
491500,1974
1.23E+06,1989
369500,1952
566000,2004
290000,1968
5.35E+06,2009
180000,1969
215000,1944
302000,1944
352500,1986
235867,1942
500000,1978
382000,1995
515000,1930
250000,1919
672500,1939
755000,1989
707500,1910
459000,1924
140000,1959
495000,1905
757000,2007
765000,2007
359000,1955
440000,1900
400000,1965
652000,1941
260000,1980
1.33E+06,1964
519500,1964
650000,1928
280000,1978
515000,1965
400000,1986
652100,2003
235000,1980
701000,1907
640000,1997
455800,2002
504750,1993
483000,1992
530000,1950
250000,1956
229950,1994
884744,2001
514000,1977
532000,1977
423000,2004
420000,1922
521000,1988
577000,1979
425000,1956
495000,2004
340000,1987
499950,2014
1.22E+06,2014
720000,1977
249000,1970
206135,1978
300000,1968
612000,1949
1.10E+06,1950
230000,1970
850000,1936
355000,1979
442000,1990
399000,2001
360000,1999
390000,1978
413000,1977
190000,1951
432900,1998
621138,1986
270000,2003
610000,1980
500000,1941
715000,1968
264000,1958
550000,1901
337000,1997
170000,1962
405000,1972
775000,1984
425000,1983
713000,1967
555000,1966
810000,2003
1.25E+06,1990
819000,1908
409900,2013
935000,1974
657500,1947
900000,2008
932800,1998
391000,1977
420000,2000
1.30E+06,2002
415000,1956
350000,1946
375000,1948
860000,1947
495000,1961
250000,1962
365000,1968
503000,1980
150000,1944
450000,1912
355000,2001
245000,1972
265900,1992
299000,1975
957500,1968
343000,1972
307500,1994
937500,2004
610000,1976
720000,1952
610000,1919
434500,1967
602500,1979
607010,2002
610000,1947
828500,1983
199990,1961
294000,1987
789500,2005
797000,2008
539950,2006
284950,1962
776500,1965
525000,1967
303000,1999
722080,1988
140000,1959
235000,1959
440000,1903
605000,1940
380000,1950
352000,1925
420000,1979
1.18E+06,1930
1.38E+06,1953
300000,1933
1.15E+06,1990
453500,1951
443500,1972
332000,1954
655000,2004
475000,1950
372500,1988
1.05E+06,1921
500000,1945
900000,1950
327500,1989
390000,1913
451101,1985
455000,1914
650000,2004
895000,1993
800000,1952
703770,1987
249950,1968
512000,1926
780000,1972
336000,1986
285000,1955
229900,1981
667500,1931
378000,1978
454000,1991
537500,2005
425000,1926
290000,1998
349500,1963
370000,2006
549500,1961
245000,1942
208000,1994
248000,1966
610000,1984
550000,1999
750000,2001
192000,1940
169317,1908
1.20E+06,2008
880000,1923
210000,1948
180500,1973
540000,1984
520000,1984
177500,1968
415000,1956
495000,1968
325000,1966
440000,1985
411000,1959
810000,1998
561750,1962
835100,1963
450000,1985
238000,2004
299000,1974
570000,1941
340000,1978
450000,1912
272750,1966
520000,1949
284950,1960
255000,1949
231500,1941
415000,1979
330000,2006
365000,1963
425000,1928
400000,1958
335000,1989
342000,2003
490000,1997
331500,1969
960000,1996
720500,1985
830000,1912
662990,1926
220000,1959
349950,1952
550000,1922
396000,1941
635000,1911
293000,1940
339000,1979
285000,1991
775000,1916
224000,1959
2.25E+06,1922
165050,1959
275000,1913
445000,1951
510000,1978
1.23E+06,2001
390000,1970
460000,1977
700000,1958
874150,1987
470000,1987
374000,1961
510000,1950
467000,2007
576000,2002
196440,1992
825000,1993
281000,1981
326000,2000
340000,1980
440000,1985
749000,1998
340000,1963
561000,1916
270000,1988
600000,1919
219900,1969
617000,1992
469000,1978
229000,1942
1.27E+06,1906
365000,1958
429000,2001
550000,2003
453000,1955
187500,1977
520500,1955
300000,1977
799000,2005
338000,2003
800000,1906
360000,1945
442500,1968
700000,1920
830000,1968
360400,1987
345000,1960
300000,1966
350000,1959
368000,1972
264000,1966
435000,1990
200000,1903
620000,1929
1.68E+06,2014
337000,1919
1.93E+06,1984
544500,1974
252000,1910
445000,2008
379500,1989
189950,1919
469000,1948
600000,1979
785000,2000
372000,1990
445000,2004
508000,1986
780000,1905
541100,1978
729000,2003
397000,1952
451555,1912
300000,1947
416000,1969
490000,1925
480000,1942
368000,2002
1.04E+06,1991
545000,1952
850000,1998
550000,2003
600000,1984
535000,1968
599950,2014
531000,1955
530000,1968
597326,2015
805000,1997
390000,1968
487250,1901
301000,1967
1.18E+06,1923
299000,2002
2.35E+06,1907
400000,1999
467500,1969
305000,1990
210000,1953
300000,1979
327500,1981
269000,2003
975000,1969
355000,1940
712000,1900
883000,1985
190000,1994
443000,1967
920000,1976
285000,1978
901000,1916
552500,1958
256000,1915
341000,1952
279000,1975
686000,1977
225000,1975
215500,1972
950000,1919
503000,1996
780000,1997
212000,1946
580000,1983
465000,1994
206000,1959
615000,1987
519000,1907
1.14E+06,2001
330000,2005
240000,1955
574000,1988
930000,2007
850000,1975
415000,1974
480000,1929
300000,1957
439000,1980
450000,1938
589000,1989
477000,2003
587500,1951
1.32E+06,1905
1.43E+06,1966
700000,1978
275000,1949
367500,1978
453250,2001
607000,1954
255000,1960
501000,1926
450000,1950
360000,1981
460000,1929
753000,1950
389950,1951
469000,1924
550000,1939
565000,1948
189650,1980
1.53E+06,1927
260000,1980
243000,1960
1.10E+06,1969
249000,1976
720000,1947
905000,1995
824500,1927
762500,1978
580000,2008
380000,1990
805000,1926
520000,1944
1.57E+06,1999
175000,1911
353500,1987
500000,1962
386500,1972
210000,1950
439500,1983
315000,2002
339000,2003
655000,1971
740000,2008
685000,1966
550000,1960
405000,1920
765000,1984
625000,1911
207000,1914
370000,1914
475000,1988
365000,1955
411800,1969
668000,2002
618000,1998
247500,1948
345000,1950
616300,1927
348000,1952
425000,1994
850000,1968
820000,2010
832000,1980
835000,1984
350000,1999
349000,2003
1.13E+06,2014
320000,2004
150000,1968
340000,1949
785500,2007
410500,2004
580000,1978
345000,2005
550000,1933
449500,1998
300000,1954
915000,1988
1.58E+06,1989
599000,1917
755000,1960
400000,1944
133000,1968
330000,1951
330000,1904
375000,1936
485000,1968
470000,1981
1.05E+06,1905
548800,1930
315000,1919
590000,1959
439950,2002
325000,1980
400000,1931
685000,1987
339950,1953
315000,1951
411753,2009
577000,1924
500000,1972
210000,1963
640000,1969
460000,1949
265000,1941
740000,1984
230000,1948
315000,1978
432000,1981
467000,1995
255000,1964
316500,1979
190000,1977
490000,1900
378000,1976
598800,2013
333800,1990
690000,1990
320000,1948
1.25E+06,1912
335000,1961
840000,2004
608250,1986
550000,2005
240000,1966
998000,1980
275000,1978
284200,1977
1.72E+06,1941
2.40E+06,1926
930800,1988
930000,1959
215000,1979
480000,1943
483945,1951
347000,1978
232500,1979
390000,1965
550000,1965
590000,1987
420850,1945
345000,1983
429800,1986
302000,1968
800000,1932
250000,1997
605000,1922
412000,1985
252000,1994
375000,1954
725000,1919
471750,2001
490000,1995
439000,1945
355000,1949
250000,1944
780000,1984
409000,1918
420000,1916
200000,1947
830000,1963
695000,2006
815000,1998
210000,1983
635000,1957
562500,1991
402500,1988
555000,1951
310000,1972
500000,1994
430000,1959
1.60E+06,1930
627500,1923
335000,1998
962000,1981
299000,1959
399950,2001
322000,1968
430000,1949
307000,1966
194000,1943
180000,1920
465000,1983
722500,1978
470450,1921
280000,1990
176250,1966
560000,1926
830000,1991
276900,1952
625000,1906
1.02E+06,1900
463500,1924
485000,1990
272000,1989
305000,2008
760000,1959
387500,1938
352000,2004
507000,1950
156000,1941
580000,2001
630000,1977
275000,1964
835000,1960
340000,1995
329350,1942
1.48E+06,1991
475000,1975
719950,2014
235000,1941
875000,1939
380000,1974
325000,1984
475000,1989
152900,1915
210000,1939
350000,1925
505000,1985
464900,1979
650000,1957
369950,2009
250000,2001
320000,2001
2.53E+06,1950
340000,1974
440000,1906
219950,1959
940000,1957
399950,1945
1.57E+06,1954
528000,1969
545000,1956
575000,2004
235000,1979
272000,1998
380000,1969
195000,1949
297000,2002
349000,2003
320000,1942
319990,1962
439900,1909
429000,1995
272500,1998
400000,1959
462000,1916
510000,1947
550000,1988
150000,1969
460000,1969
632500,1986
361000,1969
437000,2004
370000,1950
884250,1998
225000,1969
235000,1949
767500,1916
1.20E+06,1928
715000,1989
417000,1959
199000,1964
875000,1906
545000,1926
192500,1926
822500,1999
800000,1975
1.25E+06,1930
3.85E+06,1980
295000,1995
419000,2006
1.20E+06,1993
750000,1995
502000,1953
1.03E+06,1960
398500,1945
700000,1907
248000,1959
800000,1922
383000,2004
688000,1913
521000,1926
365000,1949
491000,1980
643000,1965
279000,1979
583500,1908
310000,2004
310000,1984
280000,1956
272000,2004
870000,1923
307000,1980
490000,1946
399950,1960
1.64E+06,1958
989000,2000
264950,1983
491500,1979
345000,1984
339900,1969
852000,1905
585000,1968
723000,1977
594000,1990
405000,1987
725500,1997
800000,1955
1.33E+06,1966
180500,1996
325000,1996
235000,1968
330000,1948
678500,1952
463000,1974
250000,1943
655000,1927
239900,1979
185000,1955
1.74E+06,1926
251700,1977
400000,1964
735000,1955
1.70E+06,1942
82500,1951
765000,2004
292500,1968
270000,1970
415000,1939
950000,1952
353000,1995
670950,2007
280950,1912
585000,1983
525000,1974
605000,1973
1.01E+06,2007
245990,1942
535000,1985
410000,1911
550000,1988
665000,1972
455000,1940
440000,1922
332000,1979
280000,1989
570000,2006
250000,1957
238000,1952
265000,1949
306000,1959
345000,2002
765000,1971
346300,1998
342500,2002
501000,2000
270000,1990
638000,1930
460000,1908
760000,1953
1.09E+06,1972
234000,1983
1.65E+06,1975
488000,1938
1.55E+06,1963
499000,1982
150000,1952
333000,1993
700000,1959
275000,1926
330000,1959
360000,1969
467000,1965
568000,1979
605000,1972
750000,2005
760000,1994
265000,1979
490000,1956
360000,2004
311750,1976
399000,1958
347000,1989
1.68E+06,1998
585000,2005
340000,1992
612000,1994
230000,1980
604000,1989
250000,1959
258500,1989
783000,1940
1.05E+06,1958
760000,2002
276000,1960
550000,1966
398000,1953
775000,1914
1.03E+06,1988
327000,1905
564500,1995
782000,1905
398000,2005
257000,1915
235000,1984
453000,1979
535000,1954
275000,1993
665000,1996
670000,1977
465000,1966
210000,1970
265000,2001
426000,1987
529219,1966
600000,1969
875000,2001
608000,1956
220000,1973
1.76E+06,1996
295450,1966
315000,1925
205000,1967
310000,1952
1.00E+06,1927
525000,2006
284000,1960
510000,1986
405000,1947
509950,2007
600000,1987
990000,2006
280005,1954
700000,1968
330000,1953
340000,1956
468000,2007
1.34E+06,1972
515000,1955
245000,1977
265000,1983
372400,1990
390000,1948
208000,1967
273000,1945
455000,2003
270000,1988
618000,1958
213550,1990
210000,1957
2.75E+06,2004
403500,1974
235000,1963
287500,1936
546800,1946
183000,1957
560000,1986
299500,1958
610000,1965
288350,1963
