price,bathrooms
385000,1.75
315000,1.75
255000,1
693000,2.5
780000,1
237000,1.75
525000,2.25
425000,1
369900,0.75
290000,2.5
285000,1
415000,1
272500,2.5
2.90E+06,3.25
1.37E+06,4.75
436000,1
210000,1
236000,1
331000,1.75
365000,2.5
450000,2
770000,2.75
455000,2.5
405000,1.75
304900,1.75
170000,1
2.05E+06,3
780000,2.5
330000,3
370000,2.5
467000,2.25
405000,1.75
675000,2.25
500000,1
389999,2.5
630000,1.75
360000,2.5
580000,3
550000,2
879000,2.5
265000,2
446500,2.5
404000,1.5
267500,1.75
3.08E+06,5
335000,2.5
576000,2.5
208633,2.5
315000,2.25
725000,1.75
550000,2.75
610750,2.25
550700,1
665000,2.75
834000,2.5
201000,1.75
2.38E+06,2.5
1.38E+06,3.25
1.40E+06,3.25
305000,2.25
487000,2
390000,2.5
548000,1
268750,1
819900,2.75
520000,2.25
230000,2
240000,1.75
232000,1
240500,1
274975,2.5
740000,2
186375,1
790000,2.25
880000,3.5
279000,1.75
295000,2
640000,1
940000,2
260000,2.5
559900,2.75
791500,2
265000,1.75
245000,1.75
485000,1.75
684000,3.5
425000,1.75
309600,1.75
552250,2.5
165000,1
239900,1
320000,1
206600,2
387000,1.75
299000,0.75
855000,2.75
315000,1
437500,1
252000,1.5
375000,1.75
300000,2.5
420000,1
900000,1
679900,2.5
463000,2.5
380000,2.5
329500,2.5
604950,2.5
795000,2.5
465000,2
673000,2.5
810000,2.5
785000,2.75
338000,3
280000,2.25
315000,2.25
530000,2.25
380000,3
297000,2.25
730000,2.5
450000,1.75
275000,3
595000,2
435000,1.5
270000,1.5
950000,3
389000,2.25
560000,2.25
1.35E+06,3.5
799000,2.25
365500,2
252350,2
403950,2.5
385000,1.5
345000,1
490000,2.75
330000,2.5
927000,2.75
1.12E+06,2.5
330000,1
530000,2.25
365000,2
378750,2.5
269900,1.75
557000,3.5
360000,1.75
352000,1
437000,2.5
322500,2.5
650000,3.25
450000,2
278500,2
364950,2.5
840000,3.5
268000,2.5
517534,1
632925,2.5
577500,2.5
339000,1.5
570000,1.75
563500,1.75
423000,2.25
355000,2.25
1.55E+06,4.25
482000,1
625000,1.75
538000,2.5
380000,2.5
375000,1
245000,2.5
310000,1.75
1.30E+06,2
397000,2
365000,2.5
328500,3
988000,3
1.00E+06,2.5
237000,2.5
525000,2.5
749000,2.5
722500,2.5
843000,2.5
438000,2
578000,1.75
227950,1.5
196000,2.25
641000,1
350000,1.5
205000,1
400000,1.75
1.03E+06,2.5
505000,2
475000,2.5
520000,2.25
1.45E+06,4.5
333500,1.75
232000,1
691100,2.75
811000,1.75
551000,2.5
496500,2.5
705000,3
578000,2.5
255000,1.75
1.05E+06,3.5
348000,2.25
230000,2
359500,2.25
330000,1
80000,0.75
465000,1.75
325000,2.5
340500,2
342500,2.5
290900,2
868700,4.25
1.20E+06,2.75
1.15E+06,3.25
859900,2.75
520000,2.25
460000,2.5
438924,1.5
315000,1
590000,2.75
378500,1.75
328500,2.5
849950,3
525000,1.5
1.39E+06,3.25
295000,2.5
1.07E+06,3.5
207950,2
699900,2.75
1.28E+06,2.5
452000,1.5
370000,2
232000,1.75
669950,2.5
397500,2
490000,2.5
725000,2
299000,2.75
625000,1.5
437500,2.5
650000,2.5
475000,1
342000,2
1.20E+06,2.5
280000,1.5
240000,1.75
529000,1
442000,1
615000,1
1.49E+06,3.75
585000,1.75
480000,2.5
1.10E+06,3.5
290000,1
615000,1.75
300000,1
308000,1
750000,2.5
2.25E+06,2.25
890000,3.25
288000,1
190000,1
515000,3
235000,1.5
275000,1
727500,2
650000,2.5
1.60E+06,5
365000,1
662000,1.75
270500,2.5
200000,1.5
970000,3.25
160000,1.5
204000,1
358000,2.25
452000,1.75
595000,2
249000,2
346900,2.5
2.13E+06,2.5
280000,2.5
318888,1.75
530000,2.25
375000,2.25
910000,2.5
782000,2.5
259950,2
315000,2.75
215000,1
705000,1.75
1.45E+06,3
451000,1.75
261000,1
396000,1.5
725000,2.5
1.95E+06,3.5
238000,1
750000,1.75
331500,2.5
460000,3
404950,2.25
880000,2.5
863000,2.5
638700,1.75
435000,2.5
260000,1
671500,2.75
610000,1
405000,0.75
338900,2.5
720000,4
442000,3
650000,2.75
263500,1.75
300000,1
266000,2.5
930000,4
530000,2.5
180000,1
619000,2.5
264000,1.5
730000,2.25
439000,2.25
268500,1.75
330000,1.75
640000,2.5
900000,2.5
370000,2.25
685000,2
505000,1.5
265000,1.75
290000,2.5
296000,2.5
360000,2.5
240500,1.75
372500,2.5
595000,2.5
515000,3
1.22E+06,2.25
507000,1.75
399950,2
185000,1.75
460000,1.75
435500,2.25
469000,2.75
531000,3
443500,1
223000,2
590000,3.5
340000,2.5
650000,2
533600,2.5
695000,2.75
242000,1.75
425000,2.25
525000,2.25
485000,2.5
175000,1
210000,2
260000,2.5
577000,2.5
200000,1.5
605000,1.75
325000,1
289500,1
559950,2.5
1.04E+06,1.75
543500,2.25
480000,2.25
218000,1
565000,1.75
426700,1.75
650000,2.5
542000,1
415000,1.75
214000,1
245000,1.5
314500,2
1.12E+06,1.5
378000,2
305000,2.5
595000,2.75
729500,2.5
430000,2.5
240000,1.75
545000,1.75
530000,1.75
157000,1
425000,1
220000,1
521000,1.75
325000,1
597500,2
337000,2.5
1.00E+06,2.5
3.07E+06,2.5
495000,1
748000,3.5
888000,1.5
269900,1.75
496500,2.5
475000,2.5
312000,1.5
323000,1
331000,1.75
306000,1.5
655000,2.5
290000,1.5
1.25E+06,3.25
460000,1.75
435000,2.5
664000,2.75
865000,1.75
385000,1.75
497000,2.25
280000,1
188000,1.5
478500,1
1.15E+06,3.5
222000,2
799000,3
609900,2.5
413000,3.5
400000,1
802541,2.75
320000,2.5
507000,2.5
387500,1
396000,1
373000,1.75
1.48E+06,2.5
359900,2.25
410000,1
690000,2.5
245000,2
700000,2.5
268000,1.75
225000,1.75
980000,2.25
795000,1
195000,1
480000,2
485000,2
130000,1
325000,1
440000,1.75
550000,1.75
310000,1.75
530000,2.5
390000,2.5
243000,1.75
639000,2.5
215000,1
405000,1.75
250000,1.75
405500,1.5
452000,2.25
730000,2.25
267000,2
289950,2.5
565000,1
1.58E+06,3.25
636000,2.5
350000,3
320000,1.5
210000,1.75
245000,1
328000,1.75
985000,2.25
501000,1.75
315000,2.25
403000,2.75
550000,2
347500,2.5
365000,2.25
588000,1
605000,1.75
1.30E+06,3.25
233000,2
360000,2.5
459000,1.75
740000,2
305000,1
395000,1
560000,2.5
650000,1.75
449950,2.5
517500,1.5
435000,1.5
329999,1
950000,1.75
447000,1
699800,2.5
850000,1.75
316500,1.75
942500,3.5
1.31E+06,2.25
856600,2.25
405600,1.5
565000,2.5
400000,2.25
330000,2
374950,2.75
405300,2.75
560000,2.25
824000,2.25
260000,1.75
760000,2.5
405000,2.5
429900,2.5
341500,1.5
465250,2
450000,2
390000,1
420000,2.25
269950,2.5
493000,2
370000,2.5
2.25E+06,4.25
305000,1
400000,1.75
320000,1.5
715000,1
650000,2.75
218000,1.75
500000,1
460000,2
232500,1.5
408200,2.5
522000,1.75
675000,2.5
1.36E+06,3.5
249950,1
210000,1
429950,1
737500,2.5
710000,2
470000,2.5
1.10E+06,3.5
650000,2
1.22E+06,2.5
422120,2.5
625000,2.5
385200,1
500000,2.25
308000,2.25
565000,2.75
581000,2.5
361000,2
345000,1
419000,2.25
347000,2.5
625000,2.25
2.40E+06,4.25
379000,3.25
310000,1.5
250000,2
682000,2.75
246500,2
325000,1
310950,2.5
1.10E+06,2
287500,1
431000,1
226000,1
825000,1.75
175000,1
465750,1.5
659000,2.25
595000,1.75
350000,2.25
270000,2.25
662500,2.25
249900,1.75
324500,1.75
430000,1.75
419950,1.75
285000,1.75
332000,2.5
282000,1.75
320000,1
428750,1
330000,2.25
456500,3.5
352000,2.25
664000,2
628000,1.75
512000,1.75
254000,2
535800,2.5
287653,1
438000,2.5
450000,1.75
327000,2.75
370500,2.5
265000,2.5
450000,2.75
425000,1
166600,1.75
245000,0.75
565000,1
539900,1.75
910000,3.5
280000,2.5
275000,2.25
467000,2.5
457500,2.5
381156,1
289999,2.5
642450,1.75
469950,2.25
795000,2
785000,2.5
860000,2.25
1.10E+06,0
147500,1
390000,2
229000,1
185000,1
414900,1.5
200000,2
225000,2.25
720000,1.75
930000,2.5
1.27E+06,2.5
700000,3.25
466000,1.5
374000,1.5
480000,2.5
740000,2.5
1.01E+06,1
395000,2.5
340000,1
209000,2
431650,2.5
980000,2.5
660000,2.5
730000,2.25
291500,1.75
905000,3.5
800000,2.5
839900,3.5
200000,1.5
300000,2
530000,1.75
314950,2.25
255000,1.75
550000,2.75
435000,1
234000,1.75
615000,2.25
205000,2
384000,1.75
324000,2.5
645000,1.75
570000,3.25
324000,2.5
270000,1
290000,1.5
250000,2
342000,1.75
255000,1.5
800000,2.25
451000,1.75
990000,2.5
288400,2.5
420000,1.5
359000,2.75
390000,3
300000,2.5
545000,2.5
288349,1
299900,2.25
891000,2
1.20E+06,2
378000,2.5
299995,1
253000,2.5
350000,2.25
565000,3
315000,1
570000,3
971000,3.5
915000,2.5
419000,1.5
260000,1.75
1.32E+06,3
369950,1
1.03E+06,2.5
435000,1
601000,1.75
460500,1
720000,2.5
851000,2.5
550000,3
700000,1
323000,1.75
345500,1
378000,1.5
650000,2
385000,2
425000,1
210000,2
630000,2.5
335000,1.75
196500,1
582800,2.75
440000,1.75
752500,2.25
532500,1.75
265000,1
397500,1.25
524250,2.5
765000,2.75
648000,2.5
469500,2.5
237500,1.75
216000,1
427200,1
280000,2.25
718000,3
420000,2.75
379000,1
326100,1
535000,2.5
283000,2.75
260000,1
399000,1
484950,2.25
640000,1.75
585000,2.5
645000,2
253000,2
178500,1
291000,2.5
199950,2.75
553500,1
189950,1
289000,2
700000,2
270000,2
258000,1.75
530000,2.5
245000,2.25
563000,2
515000,2.5
325000,2.5
540000,2.25
280300,1
460000,1.75
475000,1.75
900000,2.25
538200,3
429000,1
164808,1
520000,2.25
475000,1.75
283000,1.5
321500,2.5
840000,2.75
287000,2.25
375000,1.75
349500,1.75
446450,1.5
315000,2.5
271310,1
315000,1
245000,1.75
543115,1
900000,2
2.45E+06,4.25
554000,2
249900,1.75
768000,2.5
980000,3
395000,2.5
415000,1.75
380000,2.5
566000,2.5
218500,1
550000,2.5
512031,1.75
197500,1
470000,2.25
590000,1.75
465000,2.25
499000,1.75
515000,2.25
716500,1.75
410000,2
850000,3.25
1.05E+06,3.25
648000,2.5
620000,2.25
935000,4.5
379000,1
699000,1.75
528000,2.25
425000,1.75
249500,1.75
1.04E+06,3.25
790000,2.75
399950,1
275000,1.5
550000,1
140000,1
250000,1
318000,2.25
505000,1
470500,2.5
360000,1
1.24E+06,2.75
986000,2.5
515000,1
320000,1.75
310000,3
356700,1
775000,1.75
325000,1
208000,2.75
825000,1
515000,2.5
490000,1.5
675000,3
360000,2.5
550000,2.5
225000,1.5
500000,2.75
385000,2
837700,2.75
448000,2.25
730000,1.75
575000,1.5
430000,1.75
435000,2.5
241000,1
453500,1.75
285000,1.5
151000,1
1.57E+06,4.5
631000,2
285000,2.5
195000,1
817500,2.5
550000,2
1.13E+06,2.5
609850,2.75
200000,1
367000,2.5
285167,2.25
275000,1.5
350900,2.5
660000,3.25
525000,1.75
262000,2.5
690000,1
624000,3.75
353000,1
552500,3.5
224500,1
239000,1
975000,4.5
1.20E+06,1.75
505000,1
302000,1.75
170000,1
195000,1
272000,1.5
369000,1.5
332500,1.5
515000,2.5
269000,1
1.28E+06,4
303000,2.5
420000,3
400000,1
225000,1
219000,2
605000,2.5
625000,2
380000,2
620000,2
687500,2.75
225500,2
252500,2
510000,2.5
510000,2.5
725000,2.5
75000,0
492000,1
425000,2.5
1.96E+06,2.75
298900,2.5
699000,2.5
310000,1
350000,1.75
790000,1.75
305000,2.5
315000,2.5
267500,3.5
1.75E+06,3.25
435000,3.5
482500,4.5
5.11E+06,5.25
439995,1.75
460000,3
194000,1
290000,0.75
274700,2
900000,2.5
1.15E+06,4
605000,2.5
359000,2.5
850000,1.75
505000,2
565000,2.5
585000,1.75
328000,3.25
749950,2.75
826000,2.5
535000,1
925000,2.5
875000,3.5
902000,2.25
423000,1
235000,1
545000,2
343000,1
334950,2.5
405000,1.75
220000,1
173000,1
655000,1
406000,1
632000,2.5
357000,2.75
361000,1.75
277000,1
630000,3.75
254000,2.5
472800,2.25
263000,1.75
510000,1.75
179950,1
525000,2.25
479000,2.5
651000,2
949000,1.75
392400,2.5
585000,1.75
460000,2.5
470000,1
245000,2.5
500000,2
455000,2.5
485500,2.5
1.88E+06,3.25
100000,1
307000,1.75
475000,3.5
330000,2.5
130000,1
320000,2.5
735000,2.5
365000,2.5
234000,1.5
211000,2
680000,3.5
457000,3
349000,2.25
360000,2.75
350000,2.5
208000,1
250275,1
435000,1
270000,1.75
438000,1.75
659000,2
645000,2.75
685100,2.5
350000,3
375000,1
170000,1.5
880000,2.5
410500,2.5
780000,2.5
1.23E+06,4.5
449000,1.75
546000,1.75
317000,2
276900,1
399000,2
495000,2.75
258000,1.75
600000,2.5
265000,2.75
321000,2.75
682000,2.25
295700,2.5
609000,2.5
995000,4.5
530000,2.25
614000,2.5
390000,2.5
467000,2.5
484000,2.5
340000,2.5
302495,2.5
532500,1.75
441500,2.5
470000,2.5
2.30E+06,3.25
590000,2.5
320000,1.75
363000,2
747500,2.25
750000,2.5
831000,3
403000,2.5
445000,2.5
345000,1
2.26E+06,3.5
371025,2
355000,1
270000,1
425000,2.75
364808,1.75
320000,2.25
325000,2.5
350000,2.25
170000,1.5
255000,1
550000,1
835000,4.25
420000,1
925000,2.5
389250,1.5
748000,2.5
284000,1.75
588000,2
372500,1.75
285000,3
360000,1
275000,1
428000,2
847000,2.5
316000,1
375000,2.5
533000,1
556000,2.5
225000,2
537250,2.5
255000,1
530000,2.5
5.30E+06,6
595000,2.75
548000,2
234975,1.75
600000,1.75
432000,1
455000,1.5
279950,1.75
267500,1.5
620000,2.5
110000,1
625000,3.5
389000,1
1.20E+06,2
788500,2.25
567000,2.25
515000,2.25
605000,2.5
430000,3.75
805000,1.75
567500,2.5
647500,1.75
495000,1.75
825000,2.5
435000,2.25
445950,1.75
960000,2.75
780000,3
274500,2.25
729953,3
464950,1.5
620000,1.75
735000,3.5
450000,2.25
450000,1
842500,2.5
360000,2
585000,2.5
461000,2.25
345000,1
1.08E+06,2.5
643000,2.5
690000,2.5
282000,1
549000,1.75
815000,2
2.20E+06,4.25
700000,2.25
933399,2.5
290000,1
372000,1.75
450000,1.75
303700,2.5
672000,2.5
334000,1.5
260000,1
749950,1.75
330000,2.25
830000,3
1.13E+06,2.25
320000,1
260000,1
225000,2
279200,1
520000,3.5
505000,2.5
234000,1.75
503000,2.5
606000,2.25
433500,1
250000,1.5
719000,2.5
381000,2
267000,2.5
275000,0.75
651000,2.5
439000,1
325000,1
490000,1
519900,2.5
545000,2.75
1.06E+06,4
542000,1.75
465000,1.75
408000,2
292000,2.5
253000,1.75
280000,1
658588,2.25
635000,2.25
439000,2.25
300000,2.5
345000,1.5
283500,2.25
425000,1
685000,1.75
750000,2.5
245000,1.5
585444,3.75
706000,2.5
445000,2
241000,2
1.18E+06,2.5
530000,1
350000,1.5
1.70E+06,3.75
389000,1
799000,2.75
1.40E+06,2.5
340895,1
780000,2.5
350000,1.5
470000,2.5
914600,3
354000,2.5
470000,2
715000,2
265000,1
2.54E+06,3
640000,1
290000,1.75
480000,4.75
535000,2
907000,1.75
459000,1.75
1.36E+06,2.5
264950,1.5
352950,1
491500,2.25
1.23E+06,3.5
369500,1
566000,2.5
290000,2.25
5.35E+06,5
180000,1
215000,1
302000,1
352500,1.75
235867,2
500000,2.25
382000,2.25
515000,2.5
250000,1
672500,2.25
755000,2.25
707500,1
459000,2
140000,1
495000,1
757000,3.25
765000,3.25
359000,1.5
440000,1
400000,1.5
652000,2
260000,1.75
1.33E+06,3
519500,2
650000,1
280000,2.25
515000,1.75
400000,2.25
652100,2.5
235000,3
701000,1.5
640000,2.5
455800,2.5
504750,2.5
483000,3
530000,0.75
250000,1
229950,2.75
884744,3.5
514000,1.5
532000,2.25
423000,2.5
420000,1
521000,1.75
577000,2.25
425000,1
495000,2.5
340000,2.5
499950,3.5
1.22E+06,3
720000,2.75
249000,1.5
206135,1
300000,2.75
612000,3
1.10E+06,2.5
230000,2
850000,1
355000,2.5
442000,2.5
399000,3
360000,2.5
390000,1.75
413000,2.5
190000,1
432900,2.5
621138,2.25
270000,2.25
610000,2.25
500000,2
715000,2.25
264000,1.5
550000,1.75
337000,2
170000,1
405000,2.5
775000,2.5
425000,2.25
713000,2.75
555000,2.5
810000,2.5
1.25E+06,3.75
819000,3.5
409900,2.5
935000,2.5
657500,1.75
900000,3.75
932800,3.25
391000,2
420000,2.5
1.30E+06,3.5
415000,1.5
350000,1.75
375000,1
860000,1.75
495000,2.25
250000,2.25
365000,2.25
503000,2.75
150000,1
450000,1.75
355000,3
245000,2
265900,2
299000,2.5
957500,2.25
343000,1
307500,2.25
937500,3.75
610000,3
720000,1.5
610000,2
434500,1.75
602500,2.5
607010,2.5
610000,1
828500,2.5
199990,1
294000,1.75
789500,2.5
797000,3.5
539950,3
284950,1.5
776500,1.5
525000,2.5
303000,2.5
722080,3.25
140000,1
235000,1
440000,1
605000,1.75
380000,1
352000,1
420000,2.25
1.18E+06,2
1.38E+06,1.5
300000,1.5
1.15E+06,3.25
453500,1.5
443500,2
332000,1
655000,2.5
475000,1
372500,1.75
1.05E+06,2.5
500000,1.75
900000,2.75
327500,1
390000,1.75
451101,1.5
455000,1
650000,2.5
895000,2.5
800000,2.25
703770,2.25
249950,1.75
512000,2
780000,2.5
336000,2.25
285000,2
229900,1.75
667500,3
378000,2.5
454000,2.5
537500,2.5
425000,1
290000,2
349500,2
370000,2.75
549500,1.75
245000,1
208000,1.75
248000,2.25
610000,3.25
550000,2.5
750000,2.75
192000,1.75
169317,1
1.20E+06,3.5
880000,1
210000,1
180500,1.5
540000,2
520000,1.75
177500,1.5
415000,1.75
495000,2.5
325000,2.25
440000,1.75
411000,1.75
810000,3.5
561750,1.75
835100,2.5
450000,2.25
238000,2.5
299000,1
570000,1
340000,1.75
450000,1.75
272750,1.5
520000,2
284950,1
255000,1.5
231500,1
415000,2
330000,2.5
365000,1.5
425000,2
400000,1.75
335000,2.5
342000,3
490000,5
331500,1.75
960000,2.5
720500,2.5
830000,2.5
662990,1.75
220000,2
349950,2
550000,2
396000,1.75
635000,1.5
293000,1
339000,2.25
285000,2.25
775000,2.75
224000,1.5
2.25E+06,3.5
165050,1
275000,1.25
445000,3
510000,2.25
1.23E+06,2.5
390000,1.5
460000,2.25
700000,1.75
874150,3.5
470000,2.25
374000,1.75
510000,1.75
467000,2.5
576000,2.5
196440,2
825000,2.5
281000,1
326000,2.5
340000,1.75
440000,1.75
749000,2.5
340000,1
561000,2
270000,2.25
600000,1
219900,1.5
617000,1.75
469000,2.25
229000,1
1.27E+06,3
365000,1.5
429000,2.5
550000,2.5
453000,2.5
187500,1.5
520500,2.5
300000,1.75
799000,3.25
338000,2.5
800000,1
360000,2
442500,2.5
700000,1
830000,3
360400,2.5
345000,1
300000,1.75
350000,1
368000,2
264000,1.75
435000,2
200000,1.5
620000,2.5
1.68E+06,4.25
337000,1.75
1.93E+06,3.25
544500,2.5
252000,1
445000,2.5
379500,2.25
189950,2
469000,1
600000,2.75
785000,2.5
372000,2.75
445000,3
508000,2.25
780000,1.5
541100,2.25
729000,2.5
397000,2
451555,1
300000,1
416000,2.5
490000,1
480000,3.75
368000,2
1.04E+06,2.5
545000,2.5
850000,2.75
550000,3.5
600000,2.25
535000,2.5
599950,2.5
531000,2.75
530000,2.25
597326,4
805000,2.5
390000,1.75
487250,2
301000,1.5
1.18E+06,2.75
299000,2.5
2.35E+06,2.25
400000,2.5
467500,2.5
305000,2.5
210000,1
300000,1
327500,2.25
269000,2
975000,3.25
355000,1
712000,1
883000,2.5
190000,1
443000,1.75
920000,3
285000,2.25
901000,3.25
552500,1.75
256000,1
341000,1.5
279000,2.25
686000,2.25
225000,1
215500,1.75
950000,3
503000,2.5
780000,2.5
212000,2
580000,2.75
465000,2.5
206000,2
615000,2.5
519000,1
1.14E+06,3.25
330000,2.5
240000,1.5
574000,2
930000,4.25
850000,3
415000,1.5
480000,2.5
300000,1
439000,2.25
450000,1
589000,2.5
477000,2.25
587500,2.25
1.32E+06,2.25
1.43E+06,2.5
700000,2.25
275000,1
367500,1
453250,2.5
607000,1.75
255000,2
501000,2
450000,1
360000,2.25
460000,1.75
753000,1.75
389950,1
469000,1
550000,1.75
565000,3.5
189650,1.75
1.53E+06,3.25
260000,1.75
243000,1.75
1.10E+06,2.5
249000,1.5
720000,1
905000,2.5
824500,2.5
762500,2.75
580000,2.5
380000,2
805000,1.75
520000,1.75
1.57E+06,4.5
175000,1
353500,2.25
500000,2.5
386500,1.75
210000,1
439500,2.5
315000,2.5
339000,2.5
655000,2.25
740000,2.5
685000,2.5
550000,2.5
405000,1.75
765000,2.25
625000,2
207000,2.5
370000,2.5
475000,2.5
365000,1
411800,2.25
668000,3.5
618000,2.5
247500,2
345000,3
616300,2
348000,1.5
425000,2.5
850000,2.75
820000,2.75
832000,2.25
835000,1.75
350000,2.5
349000,2.5
1.13E+06,3.75
320000,2.5
150000,1
340000,1
785500,4
410500,2.5
580000,2.5
345000,1.5
550000,2.25
449500,3
300000,1
915000,2.5
1.58E+06,3.75
599000,2.75
755000,2.5
400000,1
133000,1
330000,1.5
330000,1
375000,1.75
485000,2.75
470000,2.5
1.05E+06,3
548800,1
315000,1
590000,2
439950,2.5
325000,1.75
400000,1
685000,2.5
339950,2
315000,1.75
411753,2.5
577000,1.75
500000,1.75
210000,2
640000,1.75
460000,1.75
265000,1
740000,5
230000,1
315000,1.75
432000,1.75
467000,2.5
255000,3.75
316500,1.75
190000,2
490000,2
378000,1.75
598800,4
333800,3
690000,2.5
320000,1.75
1.25E+06,3.5
335000,1.5
840000,2.5
608250,2.75
550000,2.5
240000,1
998000,2.25
275000,1.75
284200,2.5
1.72E+06,3.75
2.40E+06,3.75
930800,2.5
930000,3
215000,1.5
480000,1.5
483945,1.75
347000,1.75
232500,2
390000,2.25
550000,2.25
590000,2.5
420850,1
345000,2.5
429800,2
302000,1.75
800000,1.5
250000,2.5
605000,2
412000,1.75
252000,2
375000,1
725000,1.75
471750,3.5
490000,2.25
439000,1
355000,2
250000,0.75
780000,2.25
409000,1
420000,1
200000,0.75
830000,1.5
695000,2.5
815000,2.75
210000,1.75
635000,1.75
562500,2.5
402500,2.5
555000,2
310000,1
500000,2.5
430000,3
1.60E+06,4.25
627500,1
335000,2.5
962000,2.25
299000,1.75
399950,2.5
322000,1
430000,1.5
307000,1.75
194000,1.5
180000,1
465000,2.25
722500,2.5
470450,1
280000,2.5
176250,2
560000,1
830000,2.5
276900,1
625000,1.75
1.02E+06,2.5
463500,1
485000,2.5
272000,2
305000,1
760000,2.5
387500,1
352000,2.5
507000,1.75
156000,1
580000,3.25
630000,2.5
275000,1.5
835000,4
340000,2.5
329350,1
1.48E+06,3.5
475000,1
719950,2.25
235000,1
875000,1.5
380000,1.75
325000,2.25
475000,2.5
152900,1
210000,2
350000,1
505000,2.5
464900,2.25
650000,2
369950,2.75
250000,2.5
320000,2.5
2.53E+06,4.25
340000,2.25
440000,1.5
219950,1
940000,3
399950,1.5
1.57E+06,2.75
528000,1.75
545000,1.75
575000,2
235000,2.75
272000,2.5
380000,1.75
195000,1
297000,2.5
349000,2.5
320000,1
319990,1.5
439900,2
429000,3.25
272500,2
400000,2
462000,2
510000,1
550000,2.5
150000,1
460000,2.5
632500,2.5
361000,1.75
437000,2.25
370000,2.75
884250,2.5
225000,1
235000,1
767500,3.5
1.20E+06,1.75
715000,2.5
417000,2.25
199000,1
875000,2.5
545000,1.5
192500,1
822500,2.5
800000,2.5
1.25E+06,2.5
3.85E+06,4.25
295000,2.5
419000,1.75
1.20E+06,3.25
750000,2.75
502000,1.5
1.03E+06,1.75
398500,1
700000,1.5
248000,1.5
800000,2
383000,2.5
688000,3
521000,2
365000,1
491000,2
643000,2.75
279000,2.5
583500,1
310000,2.5
310000,1.75
280000,1
272000,2.5
870000,3
307000,2
490000,1.5
399950,2
1.64E+06,3.5
989000,4.5
264950,1.75
491500,2.75
345000,2.25
339900,1.75
852000,3
585000,3.5
723000,2
594000,2.25
405000,1.5
725500,2.5
800000,1
1.33E+06,3.75
180500,2.5
325000,2.5
235000,1.75
330000,1
678500,2
463000,2.5
250000,1
655000,2
239900,2.25
185000,1
1.74E+06,2.25
251700,2.25
400000,2
735000,1.75
1.70E+06,2
82500,1
765000,4
292500,1.75
270000,2.25
415000,1
950000,1.75
353000,2.75
670950,2.5
280950,1.75
585000,1.75
525000,1.5
605000,1.75
1.01E+06,3.5
245990,1
535000,2.25
410000,1.5
550000,2.5
