price,sqft_lot
166950,8820
799000,9897
400000,7508
230000,10228
256883,5025
423000,6480
465000,4084
440000,66211
385000,155073
210000,11725
297000,14952
470000,5000
226500,7370
274250,8450
840000,11010
677900,4587
425000,5864
180250,9600
464000,3404
320000,7579
625504,1566
592500,12032
465000,17936
477000,6270
280000,16400
1.51E+06,33474
445838,5692
1.07E+06,14864
467000,10800
686000,6440
279950,9750
527000,19436
325000,16020
328000,8379
390000,7500
479950,6516
264950,9753
235000,15246
516500,4729
655000,15798
500000,15347
315000,7350
213000,10200
475000,5280
1.03E+06,28040
416000,94300
410000,4740
800000,221284
472000,14034
225000,8505
210000,6000
455000,5000
225000,8316
480000,3060
363000,11872
2.40E+06,8354
181000,5120
250000,7312
481000,3000
260000,7209
455000,7685
415000,36224
349500,3538
245000,7442
592500,9191
385000,7620
315000,11455
255000,10170
693000,4425
780000,4400
237000,8470
525000,40510
425000,5040
369900,10079
290000,7280
285000,10701
415000,4500
272500,9900
2.90E+06,20100
1.37E+06,57346
436000,7538
210000,11390
236000,5898
331000,1306
365000,4510
450000,16258
770000,26300
455000,49375
405000,6000
304900,11325
170000,5265
2.05E+06,8480
780000,7048
330000,13959
370000,8666
467000,13500
405000,6720
675000,10300
500000,14100
389999,15770
630000,9025
360000,9528
580000,11060
550000,4166
879000,22111
265000,8959
446500,7286
404000,8880
267500,11914
3.08E+06,18641
335000,7632
576000,9000
208633,3810
315000,8750
725000,3300
550000,7750
610750,7297
550700,5000
665000,10574
834000,4000
201000,78408
2.38E+06,9050
1.38E+06,12103
1.40E+06,12103
305000,7700
487000,14052
390000,64904
548000,3864
268750,8775
819900,7119
520000,16200
230000,11204
240000,10248
232000,12092
240500,12092
274975,45004
740000,4400
186375,7636
790000,10289
880000,6750
279000,11180
295000,10530
640000,5000
940000,9525
260000,5238
559900,5569
791500,3500
265000,8250
245000,11547
485000,43995
684000,8414
425000,6840
309600,20000
552250,5823
165000,7134
239900,7134
320000,32633
206600,13464
387000,7690
299000,12120
855000,10460
315000,14400
437500,3120
252000,19800
375000,7475
300000,4862
420000,9600
900000,77972
679900,5750
463000,29970
380000,11340
329500,7912
604950,5608
795000,9570
465000,40438
673000,10400
810000,15420
785000,69415
338000,7500
280000,7222
315000,10754
530000,10754
380000,9914
297000,7562
730000,7331
450000,13500
275000,7750
595000,2849
435000,3348
270000,209959
950000,14338
389000,5337
560000,7800
1.35E+06,14984
799000,11585
365500,9600
252350,7352
403950,13780
385000,10726
345000,7620
490000,3128
330000,26977
927000,12090
1.12E+06,16619
330000,10000
530000,8800
365000,25600
378750,3000
269900,8750
557000,2096
360000,16980
352000,5000
437000,22357
322500,6753
650000,2000
450000,1213
278500,5250
364950,6957
840000,40139
268000,8134
517534,143947
632925,32239
577500,7251
339000,7480
570000,37461
563500,174240
423000,9351
355000,5028
1.55E+06,171626
482000,3960
625000,9135
538000,11632
380000,10255
375000,5120
245000,8500
310000,27260
1.30E+06,15021
397000,7680
365000,4052
328500,8250
988000,19700
1.00E+06,3277
237000,2138
525000,5280
749000,9627
722500,11800
843000,8750
438000,1372
578000,10875
227950,8230
196000,11576
641000,5332
350000,219978
205000,7980
400000,9102
1.03E+06,9816
505000,5460
475000,7200
520000,9263
1.45E+06,24920
333500,9732
232000,10403
691100,16117
811000,9897
551000,5802
496500,3640
705000,20978
578000,9225
255000,8659
1.05E+06,7832
348000,8491
230000,3413
359500,11250
330000,7000
80000,5050
465000,6360
325000,7324
340500,28025
342500,5192
290900,17600
868700,6161
1.20E+06,8400
1.15E+06,10259
859900,6298
520000,3006
460000,2527
438924,4590
315000,6550
590000,10650
378500,8640
328500,8130
849950,9773
525000,6000
1.39E+06,181319
295000,7725
1.07E+06,11793
207950,5000
699900,7302
1.28E+06,9500
452000,7350
370000,5036
232000,11230
669950,14062
397500,6710
490000,1391
725000,4140
299000,19635
625000,5750
437500,4500
650000,5438
475000,3825
342000,11947
1.20E+06,7800
280000,11610
240000,7200
529000,3328
442000,5100
615000,6872
1.49E+06,10800
585000,7559
480000,7787
1.10E+06,57063
290000,8184
615000,5000
300000,7680
308000,39150
750000,7745
2.25E+06,8036
890000,194278
288000,7560
190000,6000
515000,5105
235000,11054
275000,5000
727500,9119
650000,6587
1.60E+06,230652
365000,7085
662000,36947
270500,7848
200000,1898
970000,76230
160000,9600
204000,7405
358000,6655
452000,8268
595000,4000
249000,6082
346900,5106
2.13E+06,24069
280000,4350
318888,12000
530000,40518
375000,18500
910000,29242
782000,9614
259950,649
315000,18360
215000,8865
705000,10221
1.45E+06,6320
451000,9813
261000,8125
396000,8280
725000,29170
1.95E+06,15235
238000,7242
750000,9563
331500,10271
460000,108900
404950,217014
880000,5163
863000,22370
638700,9162
435000,5680
260000,5350
671500,4000
610000,3400
405000,15029
338900,5612
720000,7708
442000,5445
650000,5040
263500,9917
300000,75794
266000,3402
930000,84942
530000,5493
180000,8960
619000,6439
264000,10608
730000,4920
439000,10070
268500,7500
330000,15744
640000,4000
900000,12600
370000,13300
685000,2900
505000,217800
265000,32666
290000,2937
296000,3600
360000,9611
240500,10584
372500,2958
595000,14402
515000,8249
1.22E+06,15367
507000,6460
399950,31465
185000,10816
460000,7070
435500,4789
469000,13938
531000,1175
443500,6804
223000,6824
590000,15842
340000,1760
650000,3388
533600,5080
695000,4694
242000,7524
425000,8814
525000,9414
485000,5502
175000,9775
210000,7210
260000,7415
577000,5750
200000,10588
605000,5000
325000,6750
289500,6400
559950,1458
1.04E+06,9375
543500,2790
480000,34293
218000,9633
565000,6000
426700,7700
650000,11575
542000,3060
415000,8000
214000,8316
245000,8910
314500,13303
1.12E+06,5750
378000,3850
305000,9091
595000,6750
729500,1091
430000,6699
240000,6500
545000,6200
530000,2500
157000,26326
425000,7645
220000,6020
521000,36400
325000,6862
597500,5400
337000,3976
1.00E+06,10492
3.07E+06,55867
495000,6000
748000,3330
888000,8710
269900,22267
496500,14440
475000,5097
312000,1374
323000,12231
331000,9079
306000,1086
655000,4000
290000,15954
1.25E+06,5000
460000,4708
435000,6380
664000,11880
865000,4180
385000,18000
497000,9315
280000,3000
188000,17487
478500,4755
1.15E+06,18361
222000,7187
799000,209523
609900,7399
413000,5809
400000,4875
802541,6768
320000,7757
507000,7649
387500,8329
396000,12616
373000,11788
1.48E+06,19252
359900,7698
410000,4342
690000,23488
245000,5760
700000,25958
268000,9966
225000,26055
980000,11034
795000,5000
195000,5100
480000,10575
485000,3600
130000,9000
325000,5703
440000,7245
550000,14782
310000,7150
530000,39478
390000,8548
243000,12125
639000,9875
215000,7400
405000,10500
250000,7140
405500,8108
452000,13579
730000,13579
267000,9644
289950,6186
565000,4080
1.58E+06,51836
636000,2770
350000,5500
320000,9380
210000,5680
245000,5900
328000,7650
985000,37769
501000,7972
315000,17424
403000,8354
550000,17950
347500,3562
365000,8893
588000,8167
605000,7400
1.30E+06,5979
233000,9177
360000,17715
459000,4887
740000,72745
305000,9750
395000,4000
560000,6000
650000,5070
449950,4912
517500,5200
435000,6460
329999,6908
950000,4200
447000,6001
699800,6600
850000,3850
316500,14250
942500,9612
1.31E+06,3938
856600,13430
405600,4000
565000,22594
400000,1149
330000,218252
374950,4683
405300,7939
560000,31400
824000,9864
260000,10968
760000,6099
405000,12750
429900,8625
341500,7223
465250,7642
450000,3000
390000,10800
420000,8030
269950,4838
493000,2874
370000,5880
2.25E+06,9453
305000,23680
400000,8219
320000,1221
715000,4800
650000,10003
218000,8040
500000,5400
460000,40419
232500,9887
408200,5761
522000,8400
675000,11120
1.36E+06,11000
249950,7980
210000,34133
429950,7216
737500,36276
710000,9000
470000,4700
1.10E+06,40097
650000,2720
1.22E+06,8684
422120,4534
625000,15085
385200,7740
500000,4964
308000,12243
565000,9966
581000,4438
361000,8698
345000,7210
419000,1253
347000,4308
625000,36085
2.40E+06,15188
379000,17852
310000,3323
250000,5500
682000,5000
246500,8919
325000,57381
310950,4997
1.10E+06,5000
287500,7200
431000,7200
226000,5000
825000,3090
175000,6030
465750,10350
659000,24931
595000,5753
350000,16290
270000,8600
662500,25600
249900,14000
324500,11340
430000,4003
419950,4003
285000,7440
332000,7780
282000,10725
320000,5175
428750,30736
330000,35287
456500,2309
352000,11050
664000,4080
628000,11894
512000,12555
254000,9000
535800,5790
287653,16050
438000,1304
450000,23899
327000,8050
370500,6120
265000,6271
450000,13260
425000,213444
166600,8690
245000,15000
565000,5212
539900,10150
910000,3200
280000,7416
275000,8549
467000,6590
457500,4445
381156,3090
289999,8240
642450,4160
469950,8701
795000,13650
785000,10514
860000,12095
1.10E+06,4764
147500,8498
390000,11576
229000,8100
185000,8100
414900,9570
200000,4822
225000,9350
720000,4000
930000,4000
1.27E+06,17204
700000,3118
466000,1058
374000,10640
480000,10035
740000,25341
1.01E+06,5400
395000,5000
340000,6771
209000,1340
431650,7700
980000,11470
660000,28243
730000,9009
291500,9600
905000,14486
800000,50308
839900,13592
200000,1157
300000,6698
530000,6041
314950,8479
255000,9315
550000,5720
435000,4800
234000,8738
615000,10062
205000,8384
384000,7135
324000,7208
645000,5500
570000,1777
324000,5322
270000,10320
290000,7700
250000,9220
342000,16275
255000,8450
800000,11824
451000,4049
990000,10480
288400,6687
420000,4600
359000,1140
390000,262018
300000,2614
545000,7863
288349,18616
299900,35026
891000,5000
1.20E+06,22410
378000,4650
299995,7200
253000,6564
350000,47916
565000,4300
315000,5665
570000,6766
971000,10140
915000,5589
419000,23568
260000,7480
1.32E+06,12968
369950,10720
1.03E+06,13384
435000,6750
601000,6743
460500,10650
720000,1159
851000,13202
550000,5000
700000,4560
323000,14850
345500,8581
378000,7920
650000,5000
385000,7380
425000,2970
210000,6174
630000,43101
335000,7500
196500,9000
582800,7636
440000,7207
752500,8616
532500,5000
265000,9000
397500,13737
524250,3469
765000,10819
648000,5450
469500,24759
237500,7854
216000,8712
427200,8400
280000,7800
718000,9804
420000,4139
379000,5400
326100,7683
535000,1016
283000,8560
260000,7469
399000,6388
484950,5004
640000,9828
585000,8158
645000,11583
253000,7651
178500,6460
291000,6325
199950,20917
553500,2340
189950,4188
289000,9550
700000,4590
270000,8853
258000,8320
530000,7214
245000,3677
563000,5000
515000,4203
325000,7091
540000,217800
280300,5000
460000,5500
475000,8970
900000,44431
538200,7260
429000,3600
164808,5411
520000,7700
475000,8432
283000,47045
321500,6228
840000,21810
287000,6000
375000,8106
349500,7128
446450,7749
315000,9643
271310,5340
315000,8400
245000,6930
543115,5484
900000,8190
2.45E+06,6552
554000,6045
249900,12522
768000,54160
980000,5854
395000,9600
415000,2200
380000,6921
566000,5259
218500,8961
550000,10500
512031,3000
197500,8860
470000,8784
590000,242629
465000,8862
499000,114562
515000,11500
716500,5000
410000,4250
850000,6500
1.05E+06,35021
648000,13435
620000,5350
935000,84267
379000,10320
699000,5375
528000,8005
425000,9452
249500,8645
1.04E+06,6642
790000,11900
399950,18050
275000,9000
550000,2500
140000,6890
250000,6250
318000,8909
505000,57000
470500,9248
360000,9206
1.24E+06,8500
986000,16080
515000,4228
320000,41900
310000,7426
356700,5000
775000,5595
325000,7541
208000,8677
825000,12775
515000,11254
490000,3400
675000,28300
360000,4080
550000,4080
225000,9000
500000,9360
385000,11700
837700,12611
448000,3056
730000,21357
575000,7140
430000,7300
435000,3987
241000,9611
453500,1760
285000,1380
151000,4222
1.57E+06,14731
631000,2400
285000,1073
195000,8378
817500,35679
550000,12825
1.13E+06,8281
609850,1369
200000,4380
367000,6219
285167,8375
275000,32175
350900,12843
660000,9273
525000,8835
262000,7800
690000,4560
624000,14648
353000,7740
552500,10400
224500,8355
239000,8571
975000,12250
1.20E+06,13470
505000,4000
302000,7865
170000,5670
195000,27007
272000,6300
369000,6300
332500,6332
515000,8250
269000,4250
1.28E+06,17832
303000,4100
420000,8624
400000,4100
225000,8437
219000,2550
605000,9487
625000,6867
380000,3240
620000,7700
687500,10970
225500,7950
252500,6000
510000,3658
510000,5203
725000,4000
75000,43377
492000,2970
425000,14196
1.96E+06,7898
298900,6162
699000,40319
310000,3000
350000,8580
790000,10061
305000,5000
315000,2865
267500,6600
1.75E+06,7749
435000,8620
482500,7500
5.11E+06,45517
439995,8400
460000,7500
194000,6440
290000,8313
274700,9600
900000,3672
1.15E+06,103382
605000,3667
359000,3850
850000,9900
505000,2500
565000,7394
585000,7110
328000,7500
749950,18700
826000,7140
535000,40259
925000,101930
875000,6000
902000,9200
423000,13900
235000,11100
545000,14057
343000,7560
334950,2930
405000,5355
220000,8250
173000,8100
655000,3600
406000,3000
632000,8320
357000,4000
361000,17585
277000,8149
630000,40202
254000,4597
472800,8400
263000,3800
510000,3800
179950,10125
525000,7307
479000,889
651000,6440
949000,7834
392400,27951
585000,5356
460000,7504
470000,4400
245000,4271
500000,27631
455000,8653
485500,3974
1.88E+06,7920
100000,17334
307000,16105
475000,14401
330000,7210
130000,7520
320000,7417
735000,6180
365000,9600
234000,11935
211000,8288
680000,6320
457000,7845
349000,7261
360000,6840
350000,10155
208000,7420
250275,11234
435000,11234
270000,7763
438000,12940
659000,23625
645000,6350
685100,5423
350000,9569
375000,81892
170000,81549
880000,3841
410500,5000
780000,13609
1.23E+06,4426
449000,6852
546000,5000
317000,11410
276900,7566
399000,7030
495000,10165
258000,9000
600000,102366
265000,881
321000,7000
682000,4000
295700,5805
609000,37981
995000,47044
530000,11817
614000,5150
390000,21780
467000,6642
484000,13501
340000,1115
302495,7201
532500,3360
441500,9592
470000,8062
2.30E+06,8570
590000,99752
320000,12000
363000,1201
747500,18600
750000,7957
831000,4000
403000,4125
445000,4565
345000,17380
2.26E+06,14872
371025,8925
355000,6250
270000,14110
425000,15349
364808,7875
320000,6561
325000,5797
350000,10290
170000,10176
255000,28717
550000,7500
835000,25714
420000,5120
925000,7350
389250,4080
748000,10183
284000,9600
588000,5000
372500,8648
285000,7194
360000,9467
275000,17859
428000,4225
847000,17864
316000,7838
375000,7205
533000,4080
556000,16905
225000,14120
537250,9530
255000,13650
530000,4836
5.30E+06,24829
595000,31238
548000,8880
234975,8073
600000,1325
432000,12528
455000,6657
279950,11234
267500,9072
620000,220308
110000,7590
625000,1846
389000,7000
1.20E+06,3360
788500,133729
567000,6936
515000,15000
605000,11870
430000,4800
805000,6000
567500,4556
647500,3870
495000,2530
825000,5000
435000,7506
445950,7800
960000,10257
780000,3600
274500,9000
729953,5167
464950,890
620000,18800
735000,5600
450000,9565
450000,4676
842500,5298
360000,79714
585000,100545
461000,7923
345000,4494
1.08E+06,10302
643000,8391
690000,8307
282000,11111
549000,6130
815000,6000
2.20E+06,22703
700000,11424
933399,10360
290000,11250
372000,9300
450000,2890
303700,5700
672000,10049
334000,9360
260000,5650
749950,5700
330000,122038
830000,2808
1.13E+06,13791
320000,7552
260000,15250
225000,11475
279200,6350
520000,10000
505000,8060
234000,8366
503000,5044
606000,8858
433500,6000
250000,10182
719000,9307
381000,14400
267000,4400
275000,14149
651000,7140
439000,5671
325000,5070
490000,6380
519900,6172
545000,35040
1.06E+06,20041
542000,8250
465000,21650
408000,3900
292000,5950
253000,10122
280000,4662
658588,41346
635000,8910
439000,8300
300000,3855
345000,13496
283500,8050
425000,4920
685000,8955
750000,12987
245000,8000
585444,6924
706000,7571
445000,9099
241000,6000
1.18E+06,7155
530000,5750
350000,12199
1.70E+06,17186
389000,9630
799000,6820
1.40E+06,9630
340895,8612
780000,10281
350000,73600
470000,4874
914600,80837
354000,4762
470000,6000
715000,5400
265000,4000
2.54E+06,20000
640000,4944
290000,18900
480000,35000
535000,5600
907000,12220
459000,7330
1.36E+06,21399
264950,11599
352950,3000
491500,13100
1.23E+06,37034
369500,9194
566000,6294
290000,7308
5.35E+06,23985
180000,5330
215000,6000
302000,6000
352500,7881
235867,5926
500000,11946
382000,4500
515000,2402
250000,2600
672500,5300
755000,13031
707500,2555
459000,3840
140000,10620
495000,4284
757000,5283
765000,5283
359000,6052
440000,7500
400000,7200
652000,4080
260000,5850
1.33E+06,10796
519500,17859
650000,5992
280000,8075
515000,7980
400000,2692
652100,5017
235000,7956
701000,10080
640000,9594
455800,4584
504750,21937
483000,15540
530000,20412
250000,8786
229950,5885
884744,9414
514000,9964
532000,35015
423000,5539
420000,4025
521000,18250
577000,7490
425000,8040
495000,4862
340000,8577
499950,1991
1.22E+06,4750
720000,7634
249000,8247
206135,11070
300000,9276
612000,14040
1.10E+06,27311
230000,9100
850000,4600
355000,7000
442000,7253
399000,5000
360000,7115
390000,7725
413000,8711
190000,9500
432900,9226
621138,7741
270000,4252
610000,35040
500000,5525
715000,40635
264000,14821
550000,3200
337000,9087
170000,8710
405000,9095
775000,28563
425000,7475
713000,9242
555000,8712
810000,5608
1.25E+06,41263
819000,6150
409900,1200
935000,2067
657500,7560
900000,6105
932800,7095
391000,9000
420000,9825
1.30E+06,32670
415000,16800
350000,9425
375000,1820
860000,14135
495000,8872
250000,8400
365000,21312
503000,6760
150000,7200
450000,1480
355000,7213
245000,9333
265900,7793
299000,7575
957500,11523
343000,7250
307500,7364
937500,14599
610000,45302
720000,7080
610000,2620
434500,7965
602500,47044
607010,4000
610000,5750
828500,35000
199990,8560
294000,9362
789500,6100
797000,9473
539950,5250
284950,6778
776500,10372
525000,10070
303000,4957
722080,7650
140000,7473
235000,7473
440000,5500
605000,6000
380000,4800
352000,8890
420000,12000
1.18E+06,7220
1.38E+06,10572
300000,14750
1.15E+06,49091
453500,4189
443500,7598
332000,8138
655000,4721
475000,6000
372500,12956
1.05E+06,7200
500000,4200
900000,24773
327500,7140
390000,7123
451101,1962
455000,5800
650000,46748
895000,7746
800000,10664
703770,12918
249950,10454
512000,3881
780000,74052
336000,11625
285000,6900
229900,7224
667500,4000
378000,12236
454000,43733
537500,4630
425000,4160
290000,6600
349500,3600
370000,1655
549500,8438
245000,6322
208000,7200
248000,8760
610000,37058
550000,5116
750000,206910
192000,7380
169317,4000
1.20E+06,3850
880000,6350
210000,7129
180500,9800
540000,29078
520000,35722
177500,6000
415000,5650
495000,7200
325000,9646
440000,4903
411000,9844
810000,9600
561750,8996
835100,12573
450000,9969
238000,2807
299000,142803
570000,6240
340000,12626
450000,2275
272750,8786
520000,6380
284950,10723
255000,9660
231500,9488
415000,204732
330000,6000
365000,12240
425000,9188
400000,6480
335000,9701
342000,1251
490000,2580
331500,14319
960000,4102
720500,35298
830000,6550
662990,3600
220000,10507
349950,4179
550000,2159
396000,5668
635000,4000
293000,7650
339000,10120
285000,8734
775000,5000
224000,9289
2.25E+06,8125
165050,8514
275000,4500
445000,5500
510000,38639
1.23E+06,7000
390000,13500
460000,10450
700000,14733
874150,14406
470000,9800
374000,9416
510000,131115
467000,1181
576000,28405
196440,7352
825000,18901
281000,2600
326000,1577
340000,46580
440000,36036
749000,18199
340000,8316
561000,7000
270000,7930
600000,3600
219900,5427
617000,360241
469000,8446
229000,56628
1.27E+06,2646
365000,8301
429000,9301
550000,6809
453000,16300
187500,7000
520500,14350
300000,12776
799000,5000
338000,4948
800000,4400
360000,3200
442500,10490
700000,1651359
830000,9601
360400,11592
345000,9339
300000,51836
350000,10800
368000,36900
264000,7482
435000,16677
200000,15837
620000,3832
1.68E+06,11466
337000,6000
1.93E+06,20296
544500,10414
252000,1638
445000,3784
379500,14196
189950,4225
469000,4250
600000,53898
785000,33981
372000,8967
445000,7180
508000,53392
780000,4800
541100,9800
729000,5608
397000,134489
451555,4520
300000,8153
416000,11542
490000,3060
480000,5054
368000,1662
1.04E+06,10615
545000,9000
850000,15119
550000,4750
600000,9314
535000,12138
599950,4975
531000,5022
530000,7665
597326,8250
805000,33460
390000,8364
487250,3250
301000,8414
1.18E+06,5618
299000,3000
2.35E+06,22863
400000,3904
467500,7210
305000,9103
210000,306848
300000,10168
327500,8755
269000,7136
975000,17533
355000,5400
712000,4620
883000,41656
190000,12252
443000,8028
920000,11025
285000,8250
901000,4080
552500,5775
256000,5000
341000,7119
279000,8941
686000,10650
225000,11867
215500,15600
950000,4800
503000,156988
780000,7567
212000,7500
580000,6703
465000,3141
206000,7560
615000,10171
519000,6305
1.14E+06,11444
330000,3839
240000,7973
574000,7000
930000,24663
850000,183823
415000,7275
480000,9005
300000,8875
439000,9503
450000,36831
589000,206480
477000,3000
587500,6120
1.32E+06,6105
1.43E+06,27589
700000,15000
275000,6552
367500,11783
453250,6300
607000,5428
255000,8960
501000,2500
450000,4650
360000,8000
460000,3050
753000,8290
389950,4234
469000,4400
550000,5688
565000,11675
189650,7600
1.53E+06,5131
260000,8000
243000,12000
1.10E+06,13800
249000,7200
720000,7200
905000,9557
824500,3500
762500,8760
580000,1280
380000,8580
805000,3200
520000,4532
1.57E+06,5800
175000,8925
353500,9602
500000,26989
386500,7350
210000,4750
439500,6510
315000,5751
339000,8601
655000,9163
740000,8678
685000,7843
550000,9877
405000,4234
765000,17366
625000,3600
207000,19680
370000,19680
475000,4961
365000,8250
411800,6800
668000,42436
618000,3630
247500,5921
345000,6150
616300,8400
348000,6768
425000,10762
850000,11880
820000,6137
832000,52953
835000,3840
350000,3425
349000,4096
1.13E+06,4360
320000,3480
150000,7210
340000,10190
785500,8448
410500,8601
580000,11000
345000,920
550000,37000
449500,7299
300000,7007
915000,28052
1.58E+06,9916
599000,2750
755000,10202
400000,7157
133000,9115
330000,8400
330000,5000
375000,9417
485000,8956
470000,11250
1.05E+06,3600
548800,4704
315000,2674
590000,9374
439950,12067
325000,26337
400000,5111
685000,10051
339950,10200
315000,8160
411753,3795
577000,4879
500000,8829
210000,10111
640000,16120
460000,8663
265000,4760
740000,31675
230000,6195
315000,10661
432000,51763
467000,3984
255000,9900
316500,6360
190000,6250
490000,2400
378000,23200
598800,17877
333800,3868
690000,9904
320000,6200
1.25E+06,6000
335000,9600
840000,33920
608250,21780
550000,4165
240000,7920
998000,11757
275000,8000
284200,9292
1.72E+06,7623
2.40E+06,24825
930800,96574
930000,10400
215000,8775
480000,26487
483945,5120
347000,8050
232500,9760
390000,33132
550000,15360
590000,8971
420850,40946
345000,8190
429800,7000
302000,17664
800000,3952
250000,6000
605000,4500
412000,52256
252000,5670
375000,12500
725000,2719
471750,8200
490000,85813
439000,5100
355000,8890
250000,87120
780000,16188
409000,3271
420000,3880
200000,9600
830000,35679
695000,4555
815000,9614
210000,6223
635000,6000
562500,7322
402500,11951
555000,7020
310000,7173
500000,18001
430000,8800
1.60E+06,7200
627500,4080
335000,7050
962000,20100
299000,14270
399950,5868
322000,9660
430000,4625
307000,13860
194000,5000
180000,8581
465000,13383
722500,9296
470450,3400
280000,6000
176250,6702
560000,9100
830000,11287
276900,10096
625000,4800
1.02E+06,4760
463500,8750
485000,9015
272000,7476
305000,3140
760000,13964
387500,6126
352000,5015
507000,40098
156000,9750
580000,857
630000,35020
275000,9000
835000,14720
340000,7850
329350,6687
1.48E+06,26000
475000,150117
719950,2416
235000,2451
875000,5750
380000,9150
325000,97138
475000,57050
152900,4368
210000,7570
350000,6000
505000,17882
464900,8424
650000,5980
369950,1140
250000,2890
320000,2890
2.53E+06,16048
340000,24700
440000,1968
219950,7727
940000,11740
399950,6125
1.57E+06,8828
528000,9750
545000,8990
575000,6194
235000,10184
272000,6371
380000,9600
195000,6967
297000,4988
349000,7294
320000,5200
319990,10707
439900,12282
429000,3600
272500,6250
400000,7255
462000,4300
510000,6095
550000,3255
150000,5200
460000,8490
632500,10306
361000,11220
437000,1221
370000,5750
884250,12151
225000,9936
235000,5000
767500,6000
1.20E+06,8078
715000,46609
417000,7700
199000,12145
875000,5568
545000,3708
192500,7692
822500,7708
800000,10000
1.25E+06,4944
3.85E+06,21300
295000,7936
419000,4980
1.20E+06,19606
750000,13907
502000,8400
1.03E+06,8000
398500,15960
700000,4945
248000,9078
800000,2800
383000,8055
688000,4000
521000,5455
365000,9223
491000,7000
643000,7700
279000,7350
583500,3900
310000,3600
310000,7650
280000,13975
272000,5692
870000,36246
307000,7259
490000,4500
399950,9396
1.64E+06,26784
989000,13474
264950,9011
491500,7236
345000,15003
339900,18042
852000,4000
585000,40946
723000,8793
594000,70567
405000,4102
725500,74495
800000,5719
1.33E+06,76665
180500,8518
325000,8518
235000,7280
330000,8308
678500,6600
463000,6660
250000,4640
655000,4800
239900,7000
185000,9135
1.74E+06,5000
251700,11800
400000,8250
735000,7960
1.70E+06,15250
82500,22334
765000,7221
292500,8162
270000,7000
415000,6807
950000,19025
353000,8396
670950,2375
280950,8700
585000,7735
525000,43645
605000,8823
1.01E+06,3752
245990,8410
535000,12607
410000,5750
550000,7752
665000,8000
455000,17239
440000,4000
332000,14915
280000,6607
570000,1021
250000,10350
238000,8453
265000,5760
306000,10350
345000,4182
765000,10764
346300,11018
342500,11375
501000,5439
270000,8364
638000,4400
460000,2003
760000,8521
1.09E+06,11019
234000,8128
1.65E+06,8890
488000,5000
1.55E+06,20805
499000,12675
150000,6776
333000,7270
700000,8625
275000,22500
330000,11312
360000,8827
467000,8040
568000,57063
605000,9603
750000,9023
760000,69834
265000,10519
490000,12540
360000,4650
311750,12000
399000,12473
347000,9751
1.68E+06,34982
585000,6479
340000,7475
612000,5496
230000,3376
604000,7753
250000,8868
258500,7930
783000,5000
1.05E+06,7680
760000,4031
276000,5000
550000,12377
398000,6240
775000,4300
1.03E+06,10202
327000,6000
564500,14568
782000,6820
398000,5510
257000,10920
235000,9415
453000,37533
535000,9000
275000,7000
665000,10047
670000,13530
465000,10757
210000,5200
265000,4443
426000,2657
529219,7610
600000,46609
875000,8279
608000,7680
220000,21514
1.76E+06,21630
295450,17120
315000,5087
205000,8175
310000,9908
1.00E+06,5210
525000,7631
284000,8800
510000,26460
405000,4377
509950,9153
600000,45738
990000,4940
280005,7200
700000,7668
330000,7620
340000,6718
468000,2167
1.34E+06,19387
515000,20873
245000,8750
265000,7741
372400,11937
390000,8410
208000,6120
273000,7750
455000,7759
270000,6397
