age (years),height (cm)
3.791666667,95.52887815
3.875,96.05816868
3.958333333,96.58310008
4.041666667,97.1040715
4.125,97.62146857
4.208333333,98.13566246
4.291666667,98.64700876
4.375,99.15584797
4.458333333,99.66250203
4.541666667,100.1672766
4.625,100.6704587
4.708333333,101.1723164
4.791666667,101.6730987
4.875,102.1730346
4.958333333,102.6723326
5.041666667,103.171181
5.125,103.6697469
5.208333333,104.1681762
5.291666667,104.6665937
5.375,105.1651027
5.458333333,105.6637849
5.541666667,106.1627011
5.625,106.6618905
5.708333333,107.1613717
5.791666667,107.6611426
5.875,108.1611811
5.958333333,108.6614449
6.041666667,109.1618735
6.125,109.6623876
6.208333333,110.1628906
6.291666667,110.6632694
6.375,111.1633949
6.458333333,111.6631239
6.541666667,112.1622995
6.625,112.6607528
6.708333333,113.158304
6.791666667,113.654764
6.875,114.1499353
6.958333333,114.6436141
7.041666667,115.1355915
7.125,115.625655
7.208333333,116.1135904
7.291666667,116.5991827
7.375,117.0822191
7.458333333,117.562488
7.541666667,118.0397834
7.625,118.5139049
7.708333333,118.9846594
7.791666667,119.4518627
7.875,119.9153408
7.958333333,120.3749315
8.041666667,120.830485
8.125,121.281866
8.208333333,121.7289543
8.291666667,122.1716458
8.375,122.6098539
8.458333333,123.04351
8.541666667,123.4725646
8.625,123.896988
8.708333333,124.3167709
8.791666667,124.7319249
8.875,125.1424835
8.958333333,125.5485022
9.041666667,125.9500588
9.125,126.3472542
9.208333333,126.7402123
9.291666667,127.1290805
9.375,127.5140299
9.458333333,127.8952551
9.541666667,128.2729746
9.625,128.6474311
9.708333333,129.0188908
9.791666667,129.3876441
9.875,129.7540048
9.958333333,130.1183106
10.04166667,130.4809221
10.125,130.8422234
10.20833333,131.2026207
10.29166667,131.5625423
10.375,131.9224379
10.45833333,132.2827776
10.54166667,132.6440511
10.625,133.0067661
10.70833333,133.3714475
10.79166667,133.738635
10.875,134.1088817
10.95833333,134.4827517
11.04166667,134.8608171
11.125,135.2436555
11.20833333,135.6318463
11.29166667,136.0259671
11.375,136.4265892
11.45833333,136.8342729
11.54166667,137.2495627
11.625,137.6729811
11.70833333,138.1050231
11.79166667,138.5461496
11.875,138.9967803
11.95833333,139.4572873
12.04166667,139.9279871
12.125,140.409134
12.20833333,140.9009122
12.29166667,141.403429
12.375,141.9167079
12.45833333,142.4406823
12.54166667,142.9751899
12.625,143.5199675
12.70833333,144.0746481
12.79166667,144.6387576
12.875,145.2117144
12.95833333,145.7928297
13.04166667,146.3813098
13.125,146.9762604
13.20833333,147.576693
13.29166667,148.1815319
13.375,148.7896253
13.45833333,149.3997554
13.54166667,150.0106525
13.625,150.6210083
13.70833333,151.2294913
13.79166667,151.8347622
13.875,152.4354895
13.95833333,153.0303654
14.04166667,153.6181187
14.125,154.1975312
14.20833333,154.7674484
14.29166667,155.3267913
14.375,155.874565
14.45833333,156.4098665
14.54166667,156.9318906
14.625,157.4399327
14.70833333,157.9333914
14.79166667,158.4117685
14.875,158.8746672
14.95833333,159.3217901
15.04166667,159.7529343
15.125,160.1679874
15.20833333,160.5669211
15.29166667,160.9497852
15.375,161.3167006
15.45833333,161.6678528
15.54166667,162.0034846
15.625,162.3238889
15.70833333,162.6294022
15.79166667,162.9203983
15.875,163.1972811
15.95833333,163.4604795
2.041666667,91.35753004
2.125,92.22966054
2.208333333,93.07608163
2.291666667,93.89827114
2.375,94.69757027
2.458333333,95.47522083
2.541666667,96.23239427
2.625,96.97021533
2.708333333,97.68978097
2.791666667,98.39217521
2.875,99.0784807
2.958333333,99.74978771
3.041666667,100.4071992
3.125,101.0690065
3.208333333,101.7233762
3.291666667,102.3708617
3.375,103.011988
3.458333333,103.6472524
3.541666667,104.2771267
3.625,104.9020571
3.708333333,105.5224653
3.791666667,106.1387493
3.875,106.7512837
3.958333333,107.3604207
4.041666667,107.9664906
4.125,108.569802
4.208333333,109.1706428
4.291666667,109.76928
4.375,110.3659614
4.458333333,110.9609139
4.541666667,111.5543461
4.625,112.1464475
4.708333333,112.7373894
4.791666667,113.327325
4.875,113.9163901
4.958333333,114.5047033
5.041666667,115.0923665
5.125,115.6794655
5.208333333,116.2660704
5.291666667,116.8522359
5.375,117.4380018
5.458333333,118.0233939
5.541666667,118.6084238
5.625,119.1930903
5.708333333,119.777379
5.791666667,120.3612638
5.875,120.9447067
5.958333333,121.5276587
6.041666667,122.1100607
6.125,122.6918435
6.208333333,123.272929
6.291666667,123.8532304
6.375,124.4326533
6.458333333,125.0110959
6.541666667,125.5884499
6.625,126.1646012
6.708333333,126.7394306
6.791666667,127.3128143
6.875,127.8846249
6.958333333,128.4547316
7.041666667,129.0230015
7.125,129.5892999
7.208333333,130.153491
7.291666667,130.7154389
7.375,131.2750083
7.458333333,131.8320643
7.541666667,132.3864745
7.625,132.9381089
7.708333333,133.4868407
7.791666667,134.0325473
7.875,134.5751108
7.958333333,135.1144188
8.041666667,135.6503652
8.125,136.1828511
8.208333333,136.7117853
8.291666667,137.2370854
8.375,137.7586784
8.458333333,138.2765017
8.541666667,138.7905039
8.625,139.3006456
8.708333333,139.8069003
8.791666667,140.3092555
8.875,140.8077133
8.958333333,141.3022916
9.041666667,141.793025
9.125,142.2799654
9.208333333,142.7631838
9.291666667,143.2427702
9.375,143.7188356
9.458333333,144.1915122
9.541666667,144.6609548
9.625,145.1273417
9.708333333,145.5908755
9.791666667,146.0517839
9.875,146.510321
9.958333333,146.9667676
10.04166667,147.421432
10.125,147.8746507
10.20833333,148.326789
10.29166667,148.7782409
10.375,149.2294296
10.45833333,149.6808068
10.54166667,150.1328531
10.625,150.5860767
10.70833333,151.0410123
10.79166667,151.4982199
10.875,151.9582822
10.95833333,152.4218027
11.04166667,152.8894016
11.125,153.3617127
11.20833333,153.839378
11.29166667,154.3230425
11.375,154.8133474
11.45833333,155.3109233
11.54166667,155.8163811
11.625,156.3303034
11.70833333,156.8532337
11.79166667,157.3856659
11.875,157.9280318
11.95833333,158.4806894
12.04166667,159.0439098
12.125,159.6178646
12.20833333,160.2026132
12.29166667,160.7980913
12.375,161.4041
12.45833333,162.0202967
12.54166667,162.6461885
12.625,163.2811271
12.70833333,163.9243081
12.79166667,164.5747721
12.875,165.2314109
12.95833333,165.892976
13.04166667,166.5580917
13.125,167.2252714
13.20833333,167.8929368
13.29166667,168.5594402
13.375,169.2230883
13.45833333,169.8821678
13.54166667,170.5349712
13.625,171.1798224
13.70833333,171.8151013
13.79166667,172.4392666
13.875,173.0508762
13.95833333,173.6486051
14.04166667,174.2312589
14.125,174.7977852
14.20833333,175.347281
14.29166667,175.8789961
14.375,176.392334
14.45833333,176.8868489
14.54166667,177.3622413
14.625,177.8183499
14.70833333,178.2551431
14.79166667,178.6727081
14.875,179.0712394
14.95833333,179.4510272
15.04166667,179.8124447
15.125,180.1559363
15.20833333,180.4820061
15.29166667,180.791206
15.375,181.0841263
15.45833333,181.3613851
15.54166667,181.6236202
15.625,181.871481
15.70833333,182.1056218
15.79166667,182.3266957
15.875,182.5353493
15.95833333,182.7322187
2.041666667,92.63176749
2.125,93.53406648
2.208333333,94.40884914
2.291666667,95.25754106
2.375,96.08148848
2.458333333,96.88197981
2.541666667,97.66026663
2.625,98.4175791
2.708333333,99.15513792
2.791666667,99.87416352
2.875,100.5758831
2.958333333,101.2615351
3.041666667,101.9323762
3.125,102.5930445
3.208333333,103.2470198
3.291666667,103.8948257
3.375,104.5369608
3.458333333,105.1739016
3.541666667,105.8060983
3.625,106.4339786
3.708333333,107.0579468
3.791666667,107.6783842
3.875,108.2956497
3.958333333,108.9100797
4.041666667,109.5219891
4.125,110.1316713
4.208333333,110.7393989
4.291666667,111.3454248
4.375,111.9499779
4.458333333,112.5532737
4.541666667,113.1555037
4.625,113.7568423
4.708333333,114.3574452
4.791666667,114.9574502
4.875,115.5569776
4.958333333,116.1561304
5.041666667,116.7549954
5.125,117.3536426
5.208333333,117.9521268
5.291666667,118.5504872
5.375,119.1487482
5.458333333,119.7469201
5.541666667,120.3449993
5.625,120.9429688
5.708333333,121.540799
5.791666667,122.1384479
5.875,122.7358617
5.958333333,123.3329768
6.041666667,123.9297176
6.125,124.5259991
6.208333333,125.1217272
6.291666667,125.7167992
6.375,126.3111047
6.458333333,126.9045258
6.541666667,127.4969382
6.625,128.0882119
6.708333333,128.6782115
6.791666667,129.2667977
6.875,129.8538272
6.958333333,130.4391542
7.041666667,131.0226304
7.125,131.6041067
7.208333333,132.183433
7.291666667,132.7604599
7.375,133.335037
7.458333333,133.9070206
7.541666667,134.4762655
7.625,135.0426312
7.708333333,135.6059815
7.791666667,136.1661852
7.875,136.7231173
7.958333333,137.2766592
8.041666667,137.8267001
8.125,138.3731376
8.208333333,138.9158785
8.291666667,139.4548395
8.375,139.9899485
8.458333333,140.5211451
8.541666667,141.0483813
8.625,141.5716229
8.708333333,142.0908498
8.791666667,142.6060571
8.875,143.1172562
8.958333333,143.6244753
9.041666667,144.1277605
9.125,144.6271767
9.208333333,145.1228083
9.291666667,145.6147602
9.375,146.103159
9.458333333,146.5881531
9.541666667,147.0699143
9.625,147.5486382
9.708333333,148.0245452
9.791666667,148.4978811
9.875,148.9689178
9.958333333,149.4379538
10.04166667,149.9053151
10.125,150.3713549
10.20833333,150.8364543
10.29166667,151.3010223
10.375,151.7654951
10.45833333,152.2303363
10.54166667,152.6960355
10.625,153.1631074
10.70833333,153.6320904
10.79166667,154.103544
10.875,154.5780465
10.95833333,155.0561919
11.04166667,155.5385858
11.125,156.0258407
11.20833333,156.5185711
11.29166667,157.0173867
11.375,157.522886
11.45833333,158.0356481
11.54166667,158.5562242
11.625,159.085128
11.70833333,159.622826
11.79166667,160.1697263
11.875,160.7261679
11.95833333,161.2924091
12.04166667,161.8686162
12.125,162.4548526
12.20833333,163.0510679
12.29166667,163.657089
12.375,164.2726114
12.45833333,164.897193
12.54166667,165.5302497
12.625,166.1710534
12.70833333,166.8187329
12.79166667,167.4722776
12.875,168.1305444
12.95833333,168.7922681
13.04166667,169.4560742
13.125,170.1204959
13.20833333,170.7839909
13.29166667,171.444966
13.375,172.1017957
13.45833333,172.7528491
13.54166667,173.3965112
13.625,174.0312083
13.70833333,174.6554295
13.79166667,175.2677481
13.875,175.8668393
13.95833333,176.4514947
14.04166667,177.0206409
14.125,177.5733406
14.20833333,178.1088034
14.29166667,178.6263873
14.375,179.1255987
14.45833333,179.6060885
14.54166667,180.0676464
14.625,180.5101936
14.70833333,180.9337725
14.79166667,181.3385364
14.875,181.7247376
14.95833333,182.0927156
15.04166667,182.4428851
15.125,182.7757235
15.20833333,183.09176
15.29166667,183.3915648
15.375,183.6757386
15.45833333,183.9449038
15.54166667,184.1996965
15.625,184.4407585
15.70833333,184.6687321
15.79166667,184.8842531
15.875,185.0879485
15.95833333,185.2804307
2.041666667,93.45923029
2.125,94.38278047
2.208333333,95.27761711
2.291666667,96.14511823
2.375,96.98662531
2.458333333,97.8034532
2.541666667,98.59690538
2.625,99.36828331
2.708333333,100.1188932
2.791666667,100.8500508
2.875,101.5630853
2.958333333,102.2593402
3.041666667,102.940182
3.125,103.5982668
3.208333333,104.2502776
3.291666667,104.8967054
3.375,105.5380208
3.458333333,106.1746779
3.541666667,106.8071048
3.625,107.4357106
3.708333333,108.0608826
3.791666667,108.6829866
3.875,109.3023669
3.958333333,109.9193463
4.041666667,110.5342263
4.125,111.1472879
4.208333333,111.7587911
4.291666667,112.3689778
4.375,112.9780622
4.458333333,113.5862516
4.541666667,114.1937245
4.625,114.800644
4.708333333,115.4071549
4.791666667,116.0133837
4.875,116.6194398
4.958333333,117.2254154
5.041666667,117.831386
5.125,118.4374113
5.208333333,119.0435349
5.291666667,119.6497853
5.375,120.2561762
5.458333333,120.8627069
5.541666667,121.4693629
5.625,122.0761162
5.708333333,122.682926
5.791666667,123.2897392
5.875,123.8964899
5.958333333,124.5031042
6.041666667,125.1094938
6.125,125.7155618
6.208333333,126.3212019
6.291666667,126.926299
6.375,127.5307299
6.458333333,128.134364
6.541666667,128.737064
6.625,129.3386866
6.708333333,129.9390834
6.791666667,130.5381015
6.875,131.1355844
6.958333333,131.7313729
7.041666667,132.3253057
7.125,132.9172205
7.208333333,133.5069548
7.291666667,134.0943467
7.375,134.6792321
7.458333333,135.2614591
7.541666667,135.8408704
7.625,136.4173156
7.708333333,136.9906494
7.791666667,137.5607324
7.875,138.1274323
7.958333333,138.6906245
8.041666667,139.2501934
8.125,139.8060325
8.208333333,140.3580462
8.291666667,140.9061502
8.375,141.4502723
8.458333333,141.9903534
8.541666667,142.5263486
8.625,143.0582274
8.708333333,143.5859753
8.791666667,144.109594
8.875,144.6291028
8.958333333,145.1445387
9.041666667,145.6559581
9.125,146.1634368
9.208333333,146.6670713
9.291666667,147.1669794
9.375,147.6633011
9.458333333,148.1561991
9.541666667,148.6458598
9.625,149.132494
9.708333333,149.6163372
9.791666667,150.0976507
9.875,150.5767217
9.958333333,151.0538639
10.04166667,151.5294179
10.125,152.0037511
10.20833333,152.4772579
10.29166667,152.9503596
10.375,153.4235035
10.45833333,153.8971624
10.54166667,154.3718335
10.625,154.8480367
10.70833333,155.3263129
10.79166667,155.8072211
10.875,156.2913356
10.95833333,156.7792423
11.04166667,157.2715342
11.125,157.7688063
11.20833333,158.27165
11.29166667,158.7806462
11.375,159.2963578
11.45833333,159.8193221
11.54166667,160.3500415
11.625,160.8889743
11.70833333,161.4365245
11.79166667,161.993032
11.875,162.5587616
11.95833333,163.133893
12.04166667,163.7185106
12.125,164.3125939
12.20833333,164.9160089
12.29166667,165.5285004
12.375,166.1496863
12.45833333,166.7790531
12.54166667,167.4159536
12.625,168.0596069
12.70833333,168.7091009
12.79166667,169.3633976
12.875,170.0213408
12.95833333,170.6816665
13.04166667,171.3430163
13.125,172.0039535
13.20833333,172.662978
13.29166667,173.3185527
13.375,173.9691164
13.45833333,174.6131123
13.54166667,175.2490052
13.625,175.8753066
13.70833333,176.490594
13.79166667,177.0935299
13.875,177.6828795
13.95833333,178.2575211
14.04166667,178.8164693
14.125,179.3588685
14.20833333,179.8840066
14.29166667,180.3913154
14.375,180.8803698
14.45833333,181.3508837
14.54166667,181.8027041
14.625,182.2358034
14.70833333,182.6502694
14.79166667,183.0462946
14.875,183.4241646
14.95833333,183.7842466
15.04166667,184.1269767
15.125,184.4528488
15.20833333,184.7624031
15.29166667,185.0562159
15.375,185.3348893
15.45833333,185.5990431
15.54166667,185.8493063
15.625,186.0863109
15.70833333,186.3106859
15.79166667,186.5230505
15.875,186.7240141
15.95833333,186.914169
2.041666667,86.86160934
2.125,87.65247282
2.208333333,88.42326434
2.291666667,89.17549228
2.375,89.91040853
2.458333333,90.62907762
2.541666667,91.33242379
2.625,92.02127167
2.708333333,92.69637946
2.791666667,93.35846546
2.875,94.00822923
2.958333333,94.64636981
3.041666667,95.27359106
3.125,95.91474929
3.208333333,96.54734328
3.291666667,97.17191309
3.375,97.78897727
3.458333333,98.3990283
3.541666667,99.00254338
3.625,99.599977
3.708333333,100.191764
3.791666667,100.7783198
3.875,101.3600411
3.958333333,101.9373058
4.041666667,102.5104735
4.125,103.0798852
4.208333333,103.645864
4.291666667,104.208713
4.375,104.7687256
4.458333333,105.3261638
4.541666667,105.8812823
4.625,106.4343146
4.708333333,106.9854769
4.791666667,107.534968
4.875,108.0829695
4.958333333,108.6296457
5.041666667,109.1751441
5.125,109.7195954
5.208333333,110.2631136
5.291666667,110.8057967
5.375,111.3477265
5.458333333,111.8889694
5.541666667,112.4295761
5.625,112.9695827
5.708333333,113.5090108
5.791666667,114.0478678
5.875,114.5861486
5.958333333,115.1238315
6.041666667,115.6608862
6.125,116.1972691
6.208333333,116.732925
6.291666667,117.2677879
6.375,117.8017819
6.458333333,118.3348215
6.541666667,118.8668123
6.625,119.397652
6.708333333,119.9272309
6.791666667,120.455433
6.875,120.9821362
6.958333333,121.5072136
7.041666667,122.0305342
7.125,122.5519634
7.208333333,123.0713645
7.291666667,123.588599
7.375,124.1035312
7.458333333,124.6160161
7.541666667,125.1259182
7.625,125.6331012
7.708333333,126.1374319
7.791666667,126.6387804
7.875,127.1370217
7.958333333,127.6320362
8.041666667,128.1237104
8.125,128.6119383
8.208333333,129.096622
8.291666667,129.5776723
8.375,130.0550101
8.458333333,130.5285669
8.541666667,130.9982857
8.625,131.4641218
8.708333333,131.9260439
8.791666667,132.3840348
8.875,132.838092
8.958333333,133.2882291
9.041666667,133.7344759
9.125,134.1768801
9.208333333,134.6155076
9.291666667,135.0504433
9.375,135.4817925
9.458333333,135.9096813
9.541666667,136.3342577
9.625,136.7556923
9.708333333,137.1741794
9.791666667,137.5899378
9.875,138.0032114
9.958333333,138.4142703
10.04166667,138.8234114
10.125,139.2309592
10.20833333,139.6372663
10.29166667,140.042714
10.375,140.4477127
10.45833333,140.8527022
10.54166667,141.2581515
10.625,141.6645592
10.70833333,142.072452
10.79166667,142.4823852
10.875,142.8949403
10.95833333,143.3107241
11.04166667,143.7303663
11.125,144.1545167
11.20833333,144.5838414
11.29166667,145.0190192
11.375,145.4607359
11.45833333,145.9096784
11.54166667,146.3665278
11.625,146.8319513
11.70833333,147.3065929
11.79166667,147.7910635
11.875,148.2859294
11.95833333,148.7917006
12.04166667,149.3088178
12.125,149.8376391
12.20833333,150.3784267
12.29166667,150.9313331
12.375,151.4963887
12.45833333,152.0734897
12.54166667,152.6623878
12.625,153.2626819
12.70833333,153.8738124
12.79166667,154.495058
12.875,155.1255365
12.95833333,155.7642086
13.04166667,156.4098858
13.125,157.0612415
13.20833333,157.7168289
13.29166667,158.3750929
13.375,159.034399
13.45833333,159.6930501
13.54166667,160.3493168
13.625,161.0014586
13.70833333,161.6477515
13.79166667,162.2865119
13.875,162.9161202
13.95833333,163.535045
14.04166667,164.1418486
14.125,164.7352199
14.20833333,165.3139755
14.29166667,165.8770715
14.375,166.4236087
14.45833333,166.9528354
14.54166667,167.4641466
14.625,167.9570814
14.70833333,168.4313175
14.79166667,168.8866644
14.875,169.3230548
14.95833333,169.7405351
15.04166667,170.139255
15.125,170.5194567
15.20833333,170.881464
15.29166667,171.2256717
15.375,171.5525345
15.45833333,171.8625576
15.54166667,172.1562865
15.625,172.4342983
15.70833333,172.6971935
15.79166667,172.9455898
15.875,173.180112
15.95833333,173.4013896
2.041666667,84.49470553
2.125,85.25887745
2.208333333,86.0051731
2.291666667,86.73506945
2.375,87.44977223
2.458333333,88.15028421
2.541666667,88.83745411
2.625,89.5120186
2.708333333,90.17463683
2.791666667,90.82591867
2.875,91.46644774
2.958333333,92.09680119
3.041666667,92.71755946
3.125,93.33440049
3.208333333,93.94268367
3.291666667,94.54291151
3.375,95.1355744
3.458333333,95.72114636
3.541666667,96.30009195
3.625,96.87286014
3.708333333,97.43988586
3.791666667,98.00158958
3.875,98.55837705
3.958333333,99.11063889
4.041666667,99.65875031
4.125,100.2030707
4.208333333,100.7439435
4.291666667,101.281694
4.375,101.8166373
4.458333333,102.3490611
4.541666667,102.8792439
4.625,103.4074438
4.708333333,103.9339016
4.791666667,104.4588401
4.875,104.9824642
4.958333333,105.5049607
5.041666667,106.026498
5.125,106.5472265
5.208333333,107.0672782
5.291666667,107.5867669
5.375,108.1057886
5.458333333,108.6244211
5.541666667,109.1427246
5.625,109.6607418
5.708333333,110.1784984
5.791666667,110.6960031
5.875,111.2132492
5.958333333,111.7302112
6.041666667,112.2468516
6.125,112.7631168
6.208333333,113.2789389
6.291666667,113.7942368
6.375,114.3089166
6.458333333,114.8228726
6.541666667,115.335988
6.625,115.8481358
6.708333333,116.3591802
6.791666667,116.8689769
6.875,117.3773747
6.958333333,117.8842164
7.041666667,118.3893397
7.125,118.8925788
7.208333333,119.3937653
7.291666667,119.8927292
7.375,120.3893032
7.458333333,120.8833137
7.541666667,121.3745956
7.625,121.8629855
7.708333333,122.3483243
7.791666667,122.8304588
7.875,123.3092425
7.958333333,123.784537
8.041666667,124.2562127
8.125,124.7241502
8.208333333,125.1882412
8.291666667,125.6483893
8.375,126.1045113
8.458333333,126.5565377
8.541666667,127.0044134
8.625,127.4480994
8.708333333,127.8875724
8.791666667,128.3228265
8.875,128.7538732
8.958333333,129.1807426
9.041666667,129.6034839
9.125,130.0221657
9.208333333,130.436877
9.291666667,130.8477278
9.375,131.2548494
9.458333333,131.6583952
9.541666667,132.0585409
9.625,132.4554857
9.708333333,132.8494521
9.791666667,133.2406866
9.875,133.6294604
9.958333333,134.0160697
10.04166667,134.4008357
10.125,134.7841054
